ID	ELEV	PAT	POP	HOUSE
 TN1100          	95.358566	res             	332	83
 TN0759          	58.282108	res             	331	83
 TN0315          	0.981544	res             	325	81
 TN0312          	0.606018	res             	318	80
 TN1469          	200.589401	res             	318	80
 TN0806          	112.072647	res             	314	79
 TN0672          	71.508858	res             	311	78
 TN0675          	321.231506	res             	310	78
 TN1441          	47.293667	res             	310	78
 TN1442          	57.077133	res             	310	78
 TN1450          	90.793434	res             	306	77
 TN0668          	144.482376	res             	304	76
 TN0669          	217.821396	res             	304	76
 TN0693          	187.202179	res             	304	76
 TN0694          	162.358307	res             	304	76
 TN0703          	140.051788	res             	304	76
 TN0708          	139.415161	res             	304	76
 TN0713          	143.718857	res             	304	76
 TN0746          	145.99678	res             	304	76
 TN0767          	135.405731	res             	304	76
 TN0768          	126.758804	res             	304	76
 TN0769          	146.200729	res             	304	76
 TN0770          	154.106125	res             	304	76
 TN1179          	93.531029	res             	302	76
 TN1444          	63.280334	res             	298	75
 TN0302          	1.030458	res             	295	74
 TN0663          	17.332979	res             	292	73
 TN0678          	310.191254	res             	292	73
 TN0313          	0.701645	res             	291	73
 TN0307          	4.880646	res             	289	72
 TN0338          	0.59167	res             	285	71
 TN0715          	116.218605	res             	285	71
 TN0764          	103.714691	res             	281	70
 TN0684          	235.730911	res             	280	70
 TN0754          	35.855171	res             	280	70
 TN0743          	144.181107	res             	274	69
 TN0320          	2.204683	res             	272	68
 TN0213          	8.438748	res             	270	68
 TN0506          	39.153419	res             	270	68
 TN0044          	24.335335	res             	269	67
 TN0734          	119.047951	res             	267	67
 TN0306          	4.218906	res             	261	65
 TN0685          	309.704285	res             	247	62
 TN1186          	79.903847	res             	245	61
 TN1337          	0	res             	245	61
 TN1087          	92.840622	res             	244	61
 TN1106          	93.816032	res             	244	61
 TN1338          	0	res             	243	61
 TN0662          	18.277433	res             	241	60
 TN1088          	93.272095	res             	239	60
 TN1174          	69.432861	res             	237	59
 TN1184          	66.967003	res             	237	59
 TN0665          	18.125805	res             	235	59
 TN1107          	94.335991	res             	235	59
 TN0766          	122.78447	res             	233	58
 TN1086          	93.523193	res             	233	58
 TN1089          	93.792633	res             	233	58
 TN1176          	82.221573	res             	233	58
 TN1177          	92.123627	res             	232	58
 TN1188          	92.999443	res             	232	58
 TN1090          	94.315918	res             	230	58
 TN1091          	94.796745	res             	230	58
 TN1092          	95.479446	res             	230	58
 TN1101          	95.451363	res             	230	58
 TN1102          	95.151711	res             	230	58
 TN1103          	94.553383	res             	230	58
 TN1178          	93.729103	res             	226	57
 TN0666          	24.738457	res             	225	56
 TN1124          	96.992584	res             	225	56
 TN1189          	89.570389	res             	225	56
 TN0305          	3.42848	res             	224	56
 TN0318          	1.333893	res             	224	56
 TN0735          	145.23233	res             	224	56
 TN0739          	147.615189	res             	224	56
 TN1175          	76.08136	res             	224	56
 TN0723          	142.57161	res             	222	56
 TN0724          	145.689377	res             	222	56
 TN0731          	147.293747	res             	222	56
 TN1127          	85.514595	res             	222	56
 TN1183          	57.444805	res             	221	55
 TN1173          	59.86657	res             	219	55
 TN0744          	106.568588	res             	218	55
 TN1104          	94.063225	res             	215	54
 TN0661          	5.992892	res             	214	54
 TN0689          	57.467247	res             	214	54
 TN0530          	103.089012	res             	213	53
 TN0317          	1.243825	res             	211	53
 TN1185          	74.6605	res             	211	53
 TN0348          	0.034006	res             	208	52
 TN1108          	94.914574	res             	207	52
 TN0660          	11.180197	res             	206	52
 TN0528          	80.660156	res             	204	51
 TN0716          	88.16581	res             	204	51
 TN0131          	0.858657	res             	203	51
 TN0803          	103.194168	res             	200	50
 TN1139          	70.873703	res             	200	50
 TN1447          	9.225912	res             	200	50
 TN0529          	93.488098	res             	199	50
 TN1027          	94.996323	res             	199	50
 TN1434          	0	res             	197	49
 TN0704          	22.646357	res             	196	49
 TN0339          	0.701416	res             	195	49
 TN0700          	26.597668	res             	193	48
 TN0738          	120.019424	res             	193	48
 TN0714          	145.037338	res             	191	48
 TN0698          	35.008759	res             	189	47
 TN1105          	93.537338	res             	189	47
 TN0295          	0	res             	188	47
 TN0483          	14.463208	res             	184	46
 TN0658          	3.158304	res             	178	45
 TN0765          	117.625305	res             	177	44
 TN0282          	0	res             	173	43
 TN0018          	18.593336	res             	170	43
 TN0482          	7.201738	res             	169	42
 TN1109          	95.196266	res             	166	42
 TN1138          	62.111832	res             	162	41
 TN0667          	69.117767	res             	152	38
 TN0686          	262.92392	res             	149	37
 TN0761          	69.211563	res             	149	37
 TN0751          	22.669201	res             	147	37
 TN1128          	79.756432	res             	145	36
 TN0677          	376.208832	res             	140	35
 TN1137          	54.823437	res             	140	35
 TN1132          	70.61039	res             	133	33
 TN0790          	85.969536	res             	130	33
 TN1121          	96.917801	res             	130	33
 TN1110          	95.180946	res             	126	32
 TN1361          	23.321239	res             	121	30
 TN1126          	88.610893	res             	115	29
 TN0340          	0.832129	res             	114	29
 TN1120          	96.779411	res             	107	27
 TN1134          	60.702591	res             	107	27
 TN0721          	91.425903	res             	103	26
 TN1187          	92.892387	res             	99	25
 TN0748          	9.033323	res             	97	24
 TN0756          	39.445499	res             	95	24
 TN1136          	55.706047	res             	95	24
 TN0308          	0.001915	res             	89	22
 TN0742          	125.212349	res             	89	22
 TN1129          	80.809959	res             	89	22
 TN1468          	218.897507	res             	84	21
 TN1371          	10.770611	res             	78	20
 TN0345          	0.29949	res             	75	19
 TN1135          	56.268341	res             	75	19
 TN1118          	96.573837	res             	73	18
 TN1446          	6.962158	res             	67	17
 TN1133          	62.966049	res             	62	16
 TN1131          	72.774124	res             	43	11
 TN1125          	96.988373	res             	38	10
 TN1119          	96.321152	res             	32	8
 TN1130          	78.653366	res             	8	2
 TN0084          	2.320598	com             	843	
 TN1357          	86.685036	com             	837	
 TN0199          	1.723533	com             	605	
 TN1333          	18.209124	com             	583	
 TN1477          	313.78064	com             	533	
 TN0189          	10.303962	com             	510	
 TN0064          	3.338708	com             	488	
 TN0183          	3.237861	com             	484	
 TN0198          	2.973428	com             	480	
 TN0283          	0.068321	com             	433	
 TN0182          	1.652022	com             	431	
 TN0197          	4.029129	com             	421	
 TN1451          	111.796982	com             	418	
 TN0192          	9.842384	com             	405	
 TN0085          	4.521284	com             	400	
 TN0194          	7.566576	com             	398	
 TN0196          	5.233724	com             	385	
 TN0185          	5.629447	com             	370	
 TN0334          	0.052459	com             	369	
 TN0719          	32.220467	com             	355	
 TN0720          	64.440933	com             	355	
 TN0727          	42.893154	com             	355	
 TN0206          	2.11528	com             	343	
 TN1055          	96.702835	com             	340	
 TN0186          	6.735903	com             	336	
 TN0088          	0.211517	com             	335	
 TN0205          	0.619777	com             	335	
 TN0201          	0	com             	331	
 TN0321          	0	com             	328	
 TN0214          	9.041644	com             	322	
 TN1079          	95.721138	com             	321	
 TN1443          	83.554832	com             	320	
 TN0207          	3.335151	com             	313	
 TN1206          	40.893024	com             	313	
 TN1060          	95.877052	com             	311	
 TN0681          	75.02832	com             	309	
 TN0058          	2.414356	com             	299	
 TN0049          	23.847979	com             	298	
 TN0013          	8.123878	com             	288	
 TN0327          	0.83554	com             	288	
 TN0518          	67.805389	com             	287	
 TN1062          	96.355148	com             	285	
 TN1058          	96.31871	com             	281	
 TN0061          	9.234157	com             	280	
 TN0210          	6.357994	com             	277	
 TN0048          	28.399279	com             	273	
 TN0053          	21.303812	com             	270	
 TN0125          	32.196041	com             	270	
 TN1059          	96.031479	com             	270	
 TN0747          	16.536518	com             	269	
 TN1478          	287.132263	com             	267	
 TN0065          	5.361718	com             	266	
 TN1056          	96.444	com             	265	
 TN1203          	56.697128	com             	262	
 TN0059          	2.76246	com             	261	
 TN0060          	6.244805	com             	258	
 TN0330          	1.245383	com             	258	
 TN0079          	13.205186	com             	255	
 TN0215          	9.873487	com             	250	
 TN0057          	6.634921	com             	248	
 TN1061          	96.069656	com             	247	
 TN1207          	51.905338	com             	247	
 TN0136          	34.489346	com             	243	
 TN0017          	13.715975	com             	240	
 TN1077          	94.221916	com             	240	
 TN1205          	44.216572	com             	240	
 TN0062          	12.70607	com             	236	
 TN0659          	6.90682	com             	235	
 TN0081          	5.44028	com             	230	
 TN1215          	40.21265	com             	230	
 TN0087          	7.343922	com             	228	
 TN0187          	7.863317	com             	226	
 TN0078          	11.445671	com             	222	
 TN0063          	14.867135	com             	219	
 TN0190          	12.309038	com             	218	
 TN0284          	0.302435	com             	218	
 TN0014          	13.050201	com             	214	
 TN0294          	7.64206	com             	208	
 TN1057          	96.700745	com             	208	
 TN1054          	95.781731	com             	207	
 TN0051          	17.540192	com             	206	
 TN0195          	6.680748	com             	206	
 TN0690          	77.505898	com             	203	
 TN0691          	121.665573	com             	203	
 TN1349          	28.289204	com             	202	
 TN1080          	95.738823	com             	200	
 TN0019          	12.514433	com             	193	
 TN0066          	5.518593	com             	193	
 TN0126          	24.587425	com             	189	
 TN0082          	2.83246	com             	188	
 TN1053          	95.39608	com             	187	
 TN0310          	0.346818	com             	185	
 TN0045          	30.182735	com             	184	
 TN1096          	95.381744	com             	182	
 TN0216          	10.61092	com             	177	
 TN0067          	5.129876	com             	176	
 TN0129          	6.5854	com             	176	
 TN0056          	10.163603	com             	174	
 TN1063          	95.929138	com             	174	
 TN0015          	9.270737	com             	173	
 TN0303          	1.734897	com             	171	
 TN1095          	95.555641	com             	169	
 TN0054          	18.094629	com             	167	
 TN0300          	0.711097	com             	167	
 TN0664          	18.839758	com             	167	
 TN1051          	94.929535	com             	167	
 TN0042          	12.496663	com             	166	
 TN1078          	93.82869	com             	165	
 TN0188          	8.648488	com             	162	
 TN1076          	93.373047	com             	162	
 TN0080          	8.697587	com             	160	
 TN0128          	14.236417	com             	160	
 TN0127          	18.166126	com             	159	
 TN0086          	5.771236	com             	158	
 TN0068          	5.72732	com             	156	
 TN0046          	31.699005	com             	155	
 TN0055          	13.921557	com             	155	
 TN1069          	94.216064	com             	154	
 TN1072          	93.74575	com             	154	
 TN1084          	94.53186	com             	154	
 TN1085          	94.011902	com             	154	
 TN1050          	94.378845	com             	149	
 TN1074          	92.719894	com             	149	
 TN0293          	6.946321	com             	148	
 TN1071          	93.306198	com             	148	
 TN1073          	93.145561	com             	148	
 TN1044          	92.894394	com             	145	
 TN1046          	93.177971	com             	145	
 TN1052          	94.704765	com             	143	
 TN1066          	95.180237	com             	143	
 TN0200          	1.171634	com             	141	
 TN1047          	93.905952	com             	141	
 TN0211          	7.102467	com             	140	
 TN1070          	93.977814	com             	140	
 TN0052          	17.240789	com             	137	
 TN0016          	20.715902	com             	133	
 TN1114          	94.824951	com             	133	
 TN1097          	95.125801	com             	132	
 TN1159          	95.18087	com             	132	
 TN1041          	93.552284	com             	130	
 TN1049          	94.154877	com             	130	
 TN0311          	0.497808	com             	128	
 TN0050          	21.520628	com             	126	
 TN1075          	93.033859	com             	126	
 TN0474          	0.092732	com             	125	
 TN1037          	94.713829	com             	125	
 TN1048          	93.553482	com             	123	
 TN1067          	94.595329	com             	123	
 TN1201          	72.813042	com             	123	
 TN0135          	25.310081	com             	122	
 TN0202          	0.085927	com             	122	
 TN1209          	66.737732	com             	122	
 TN1045          	92.794846	com             	115	
 TN1160          	94.940331	com             	115	
 TN0709          	32.398766	com             	114	
 TN1116          	92.23748	com             	114	
 TN0047          	23.349791	com             	112	
 TN0073          	0	com             	111	
 TN1043          	93.01181	com             	111	
 TN1145          	94.955658	com             	111	
 TN0083          	0.50614	com             	108	
 TN1204          	51.382664	com             	108	
 TN1167          	69.753441	com             	106	
 TN1042          	93.771408	com             	104	
 TN1099          	95.400612	com             	104	
 TN0481          	0.237807	com             	103	
 TN1146          	95.371338	com             	103	
 TN1214          	48.65699	com             	103	
 TN1164          	80.195618	com             	100	
 TN1208          	59.177448	com             	100	
 TN0682          	98.102333	com             	99	
 TN1200          	79.41922	com             	99	
 TN1028          	94.459961	com             	97	
 TN1196          	88.295151	com             	97	
 TN1098          	95.437683	com             	96	
 TN1033          	94.156174	com             	95	
 TN0688          	158.923309	com             	93	
 TN1029          	93.866432	com             	93	
 TN1202          	66.091301	com             	92	
 TN1162          	93.07621	com             	91	
 TN1181          	50.8302	com             	91	
 TN0043          	17.879936	com             	89	
 TN1030          	93.088577	com             	89	
 TN1161          	94.393326	com             	89	
 TN1163          	86.152809	com             	89	
 TN1213          	55.760925	com             	89	
 TN1199          	84.233704	com             	88	
 TN0473          	0.215758	com             	86	
 TN1035          	95.033669	com             	86	
 TN1172          	52.333149	com             	86	
 TN0133          	12.387808	com             	85	
 TN1032          	93.362518	com             	85	
 TN1112          	95.292953	com             	85	
 TN1123          	96.342224	com             	85	
 TN1031          	92.652267	com             	84	
 TN1111          	95.240288	com             	84	
 TN1144          	88.083977	com             	84	
 TN1142          	69.649307	com             	81	
 TN1191          	89.31897	com             	78	
 TN1217          	39.127033	com             	78	
 TN0134          	18.466644	com             	77	
 TN1168          	61.36768	com             	75	
 TN0204          	0	com             	74	
 TN1210          	74.04071	com             	73	
 TN0072          	0.722855	com             	71	
 TN1158          	87.298363	com             	71	
 TN1036          	95.600929	com             	70	
 TN1038          	94.426453	com             	67	
 TN1113          	95.32177	com             	67	
 TN1182          	43.856125	com             	67	
 TN1141          	61.062477	com             	66	
 TN1150          	71.723724	com             	66	
 TN1193          	74.929077	com             	66	
 TN1117          	95.998611	com             	64	
 TN1143          	79.037483	com             	64	
 TN0074          	0	com             	63	
 TN1122          	96.152725	com             	63	
 TN1154          	63.203548	com             	60	
 TN1147          	95.711571	com             	59	
 TN1192          	81.458138	com             	58	
 TN0130          	1.342773	com             	56	
 TN1140          	55.779266	com             	56	
 TN1148          	88.190697	com             	56	
 TN1151          	62.585964	com             	56	
 TN1040          	94.024971	com             	53	
 TN1165          	79.481529	com             	52	
 TN0075          	0.461402	com             	51	
 TN1034          	94.533272	com             	51	
 TN1149          	79.790176	com             	51	
 TN1152          	57.975967	com             	49	
 TN1155          	70.083038	com             	49	
 TN0069          	0.78744	com             	48	
 TN1153          	58.393326	com             	48	
 TN1180          	47.268032	com             	48	
 TN1170          	55.348217	com             	47	
 TN1197          	82.167336	com             	47	
 TN1194          	67.471413	com             	43	
 TN0071          	0.985836	com             	37	
 TN1115          	94.470436	com             	37	
 TN1190          	93.136192	com             	34	
 TN1212          	64.205261	com             	34	
 TN0070          	0.277035	com             	33	
 TN1166          	71.65329	com             	27	
 TN1171          	55.137016	com             	26	
 TN1198          	77.25795	com             	21	
 TN1211          	80.145065	com             	21	
 TN1156          	77.698685	com             	19	
 TN1169          	60.32597	com             	18	
 TN1195          	61.51096	com             	16	
 TN1039          	94.243164	com             	14	
 TN1216          	46.060261	com             	14	
 TN1157          	83.820007	com             	7	
 TN0532          	96.170708	ind             	403	
 TN1531          	84.856697	ind             	346	
 TN1538          	85.059525	ind             	296	
 TN1530          	62.899792	ind             	256	
 TN0531          	75.163803	ind             	232	
 TN1532          	101.897667	ind             	221	
 TN1529          	46.244663	ind             	210	
 TN0477          	0.128741	ind             	202	
 TN1536          	47.919025	ind             	202	
 TN1539          	100.50399	ind             	196	
 TN1537          	65.134171	ind             	187	
 TN1528          	35.31374	ind             	181	
 TN0533          	116.048355	ind             	178	
 TN1535          	36.301571	ind             	178	
 TN1534          	25.249804	ind             	165	
 TN0489          	0.294788	ind             	159	
 TN1527          	26.756439	ind             	159	
 TN1533          	19.094399	ind             	106	
 TN0488          	0.31646	ind             	99	
 TN0479          	0.173697	ind             	96	
 TN0466          	0.023934	ind             	93	
 TN0490          	0.377312	ind             	91	
 TN0478          	0.194785	ind             	88	
 TN0480          	0.18536	ind             	88	
 TN0487          	0.362638	ind             	82	
 TN0475          	0.090862	ind             	80	
 TN0527          	88.843636	ind             	80	
 TN0526          	78.701561	ind             	78	
 TN0499          	2.808278	ind             	75	
 TN0500          	0.537751	ind             	75	
 TN0525          	69.782219	ind             	75	
 TN0509          	24.741657	ind             	74	
 TN0491          	0.425713	ind             	73	
 TN0501          	0.503256	ind             	73	
 TN0476          	0.098182	ind             	70	
 TN0508          	39.583977	ind             	70	
 TN0513          	59.135891	ind             	70	
 TN0512          	54.854607	ind             	69	
 TN0517          	56.563805	ind             	67	
 TN0492          	0.447151	ind             	64	
 TN0516          	46.260612	ind             	64	
 TN0524          	68.808197	ind             	64	
 TN0520          	73.990303	ind             	63	
 TN0521          	63.422287	ind             	60	
 TN0523          	60.035076	ind             	60	
 TN0505          	26.685659	ind             	59	
 TN0522          	52.360107	ind             	59	
 TN0484          	21.070616	ind             	58	
 TN0504          	21.205338	ind             	56	
 TN1526          	18.604164	ind             	56	
 TN0497          	23.763609	ind             	55	
 TN0485          	14.206381	ind             	52	
 TN0515          	40.897659	ind             	52	
 TN0486          	5.855823	ind             	51	
 TN0496          	32.255787	ind             	51	
 TN0498          	12.350837	ind             	51	
 TN0519          	83.035156	ind             	51	
 TN0510          	34.819828	ind             	48	
 TN0511          	45.828671	ind             	48	
 TN0494          	20.423601	ind             	43	
 TN0464          	0.088189	ind             	40	
 TN0493          	8.879259	ind             	40	
 TN0514          	49.807796	ind             	40	
 TN0468          	0.014761	ind             	38	
 TN0495          	27.137003	ind             	37	
 TN0465          	0.0233	ind             	36	
 TN0469          	0.013052	ind             	36	
 TN0467          	0.012919	ind             	34	
 TN0471          	0.289138	ind             	30	
 TN0470          	0.007576	ind             	23	
 TN1372          	72.803764	air             	429	
 TN1551          	139.034714	nav             	41143	
 TN1249          	38.377991	nav             	1371	
 TN1250          	71.59362	nav             	1371	
 TN1251          	95.055687	nav             	1371	
 TN1252          	92.46463	nav             	1371	
 TN1253          	93.787155	nav             	1371	
 TN1254          	95.044609	nav             	1371	
 TN1255          	93.914467	nav             	1371	
 TN1256          	73.742546	nav             	1371	
 TN1260          	48.932789	nav             	1371	
 TN1261          	92.608971	nav             	1371	
 TN1262          	96.316109	nav             	1371	
 TN1263          	97.582039	nav             	1371	
 TN1264          	63.415352	nav             	1371	
 TN1267          	48.29517	nav             	1371	
 TN1268          	84.945053	nav             	1371	
 TN1272          	59.338505	nav             	1371	
 TN1274          	37.203556	nav             	1371	
 TN1271          	27.313734	nav             	1370	
 TN1257          	32.333206	nav             	1352	
 TN1248          	15.40977	nav             	1210	
 TN1265          	19.220972	nav             	1003	
 TN1273          	15.865793	nav             	876	
 TN1259          	13.046252	nav             	720	
 TN1258          	11.14677	nav             	571	
 TN1266          	14.03001	nav             	550	
 TN1270          	3.34997	nav             	354	
 TN1269          	2.260157	nav             	162	
 TN1275          	0	nav             	56	
 TN1276          	0.965332	nav             	34	
TN0137	0.949831	res	7	2
TN0679	206.322281	res	292	73
TN0674	273.968933	res	314	79
TN0680	204.03537	res	439	110
