ID	X	Y
 IN0251          	94611.53	138574.55
 IN0252          	92020.81	138647.62
 IN0253          	89509.81	138714.05
 IN0254          	94255.08	140267.7
 IN0255          	94080.1	141032.41
 IN0256          	97550.12	141172.35
 IN0257          	97520.01	140124.97
 IN0258          	97477.49	139237.58
 IN0259          	97470.88	138498.01
 IN0260          	97523.71	142030.78
 IN0261          	97464.28	143027.88
 IN0262          	97437.87	143760.84
 IN0263          	97404.85	144440.98
 IN0264          	97378.44	145378.65
 IN0265          	97325.61	146230.48
 IN0266          	97285.99	147174.75
 IN0267          	97239.77	148647.29
 IN0268          	95225.76	149287.81
 IN0269          	98375.54	149802.87
 IN0270          	99233.97	149763.25
 IN0271          	99227.36	148442.59
 IN0272          	99233.97	147260.59
 IN0273          	99207.55	146144.64
 IN0274          	98692.49	145239.98
 IN0275          	100389.54	147293.61
 IN0276          	100594.25	148290.71
 IN0277          	100831.97	149703.82
 IN0278          	98217.06	144388.16
 IN0279          	101314.01	148204.87
 IN0280          	101862.08	150027.38
 IN0281          	102185.64	148469
 IN0349          	98732.11	144355.14
 IN0350          	103483.45	144085.03
 IN0351          	105899.84	143940.14
 IN0352          	108023.9	143849.59
 IN0353          	108230.87	143086.38
 IN0354          	105930.89	143086.38
 IN0355          	103454.99	142967.38
 IN0356          	103426.12	142028.08
 IN0357          	105959.35	142204.17
 IN0358          	108226.01	142204.89
 IN0359          	103423.77	141086.89
 IN0360          	106049.69	141027.21
 IN0361          	108226.01	141146.57
 IN0362          	103626.69	139996.74
 IN0363          	106077.54	140028.57
 IN0364          	108019.12	140143.95
 IN0365          	107992.85	144938.79
 IN0366          	105842.93	144967.24
 IN0367          	103511.9	144998.29
 IN0368          	103658.51	139324.35
 IN0369          	103684.1	138379.35
 IN0370          	106161.09	138377.43
 IN0371          	106129.26	139260.69
 IN0372          	108222.03	139320.37
 IN0373          	108313.54	138409.26
 IN0374          	110525.67	138496.79
 IN0375          	110406.31	139471.56
 IN0376          	110378.46	140322.99
 IN0377          	110350.61	141261.95
 IN0378          	110231.25	142232.75
 IN0379          	110145.36	143088.97
 IN0380          	110057.4	143733.17
 IN0381          	111736.46	143086.38
 IN0382          	111676.95	142380.09
 IN0383          	111560.53	143852.18
 IN0384          	111384.61	144998.29
 IN0385          	110000.48	144907.74
 IN0386          	109997.89	145908.97
 IN0387          	107964.39	145908.97
 IN0388          	105783.42	145937.43
 IN0389          	105724.1	146733.51
 IN0390          	107958	146729.88
 IN0391          	110000.46	146798.14
 IN0392          	111323.37	146793.72
 IN0393          	111324.6	145908.4
 IN0394          	101568.95	141906.64
 IN0395          	101985.49	141143.43
 IN0396          	100534.09	142938.92
 IN0397          	101480.99	145000.88
 IN0398          	110522.41	135736.79
 IN0399          	112708.79	135852.5
 IN0400          	115979.24	136090.02
 IN0401          	117425.6	136173.52
 IN0402          	112236.49	138528.62
 IN0403          	115775	138791.71
 IN0404          	113976.93	138675.29
 IN0405          	117337.64	138908.14
 IN0406          	108670.98	135590.62
 IN0407          	122943.79	145584.85
 IN0408          	113287.27	180158.18
 IN0409          	112089.28	139586.94
 IN0410          	113741.5	139702.39
 IN0411          	115480.07	139792.94
 IN0412          	115212.53	140704.94
 IN0413          	113533.54	140585.58
 IN0414          	111855.47	140439.73
 IN0415          	111824.42	141350.41
 IN0416          	113270.64	141438.37
 IN0417          	114977.79	141528.52
 IN0418          	116863.67	140852.15
 IN0419          	117070.56	139964.91
 IN0420          	116155	141587.8
 IN0421          	115563.81	142880.78
 IN0422          	113123.17	142496.51
 IN0423          	113035.21	143114.84
 IN0424          	115270.34	143586.81
 IN0425          	115036.41	144114.2
 IN0426          	112943.84	143969.59
 IN0427          	112858.78	145058.41
 IN0428          	112794.98	145938.82
 IN0429          	114509.02	145322.11
 IN0430          	114302.16	146205.47
 IN0431          	112768.67	146791.65
 IN0432          	103719.92	148943.99
 IN0433          	107289.36	150058.78
 IN0434          	106697.94	148766.04
 IN0435          	106143.16	147530.87
 IN0436          	103683.89	147543.12
 IN0437          	108168.63	147494.23
 IN0438          	108466.96	148588.09
 IN0439          	108822.86	149797.09
 IN0440          	109147.35	150911.89
 IN0441          	107760.4	151058.43
 IN0442          	104196.2	150733.94
 IN0443          	103575.94	146571.59
 IN0444          	103574	145761.5
 IN0445          	110120.83	147499.46
 IN0446          	111378.67	147499.75
 IN0447          	111502.55	148415.38
 IN0448          	110262.14	148410.14
 IN0449          	110413.92	149524.94
 IN0450          	110586.64	150733.94
 IN0451          	111738.07	150409.44
 IN0452          	111591.52	149237.08
 IN0453          	112622.58	149268.48
 IN0454          	112565.01	150205.33
 IN0455          	113653.18	149879.58
 IN0456          	113739.53	149322.18
 IN0457          	113846.84	181825.98
 IN0458          	117544.43	141085.43
 IN0459          	113889.15	148525.28
 IN0460          	112648.29	148466.46
 IN0461          	112711.55	147499.46
 IN0462          	114058.33	147442.53
 IN0463          	103070.94	150388.51
 IN0534          	118536.64	139733.17
 IN0535          	119077.05	139613.54
 IN0536          	120773.86	139299.67
 IN0537          	122510.59	138952.33
 IN0538          	122128.93	137709.78
 IN0539          	120549.75	138000.59
 IN0540          	118808.91	138318.23
 IN0541          	118573.77	137031.16
 IN0542          	122028.79	136364.04
 IN0543          	122723.48	140285.69
 IN0544          	121042.77	140577.01
 IN0545          	121222.05	142078.44
 IN0546          	121759.87	141921.57
 IN0547          	120314.09	136704.5
 IN0548          	119193.55	140940.02
 IN0549          	119429.3	142268.92
 IN0550          	117636.54	142448.19
 IN0551          	115895.56	142557.53
 IN0552          	115861.53	142238.54
 IN0553          	116010.4	143880.28
 IN0554          	117779.04	143735.92
 IN0555          	119541.34	143591.07
 IN0556          	121300.48	143423
 IN0557          	116123.8	145203.6
 IN0558          	117886.89	145030.11
 IN0559          	119670.14	144890.07
 IN0560          	121390.12	144767.57
 IN0561          	122544.2	144386.61
 IN0562          	122140.83	143154.09
 IN0563          	122992.39	141551.82
 IN0564          	123373.35	142728.31
 IN0565          	123787.93	143972.03
 IN0566          	124205.96	145174.52
 IN0567          	122938.17	145586.25
 IN0568          	121470.3	146014.15
 IN0569          	119771.85	146194.2
 IN0570          	119873.88	147532.55
 IN0571          	121605.34	147346.52
 IN0572          	121694.43	148678.22
 IN0573          	119926.65	148823.58
 IN0574          	118163.55	148997.07
 IN0575          	118069.77	147674.75
 IN0576          	117980.67	146352.43
 IN0577          	114889.96	146614.92
 IN0578          	114389.94	145557.98
 IN0579          	116241.02	146497.79
 IN0580          	116330.12	147824.8
 IN0581          	115504.84	147913.9
 IN0582          	116095.66	149175.26
 IN0583          	115078.13	149672.3
 IN0584          	116423.9	149142.44
 IN0585          	114153	146969.6
 IN0586          	123300.79	146794.36
 IN0587          	124549.12	146380.25
 IN0588          	124975.24	147622.58
 IN0589          	123702.9	148048.69
 IN0590          	124044.99	149110.97
 IN0591          	125305.33	148696.86
 IN0592          	125839.47	150395.32
 IN0593          	124579.13	150785.42
 IN0594          	122786.99	149465.98
 IN0595          	123318.8	151169.52
 IN0596          	121755.39	149822.35
 IN0597          	122463.44	148439.07
 IN0598          	118276.09	150295.95
 IN0599          	118271.45	150473.34
 IN0600          	120015.74	150145.9
 IN0601          	120792.12	151961.73
 IN0602          	120233.97	152171.79
 IN0603          	122064.46	151559.63
 IN0604          	120227.97	152435.86
 IN0605          	120858.14	153786.22
 IN0606          	121332.27	153636.18
 IN0607          	122622.61	153252.08
 IN0608          	123852.94	152843.97
 IN0609          	125113.27	152417.86
 IN0610          	126349.6	152009.75
 IN0611          	126933.47	153708.21
 IN0612          	124417.09	154530.42
 IN0613          	123186.76	154944.53
 IN0614          	121854.41	155322.63
 IN0615          	121296.26	155478.67
 IN0616          	121988.55	157150.12
 IN0617          	122432.44	157003.07
 IN0618          	123720.9	156552.96
 IN0619          	124987.88	156178.76
 IN0620          	126229.57	155772.75
 IN0621          	127477.69	155381.6
 IN0622          	124227.11	158258.22
 IN0623          	122374.44	160426.41
 IN0624          	126228.06	157647.96
 IN0625          	126757.22	157473.39
 IN0626          	128011.89	157068.74
 IN0627          	128094.79	157329.86
 IN0628          	127624.93	159203.77
 IN0629          	125930.75	158769.02
 IN0630          	125637.17	159935.18
 IN0631          	127344.25	160371.04
 IN0632          	123928.79	159497.01
 IN0633          	122232.14	158910.9
 IN0634          	122376.68	160409.15
 IN0635          	123624.01	160732.03
 IN0636          	123296.79	162095.46
 IN0637          	122347.79	161853.26
 IN0638          	129214.83	160828.39
 IN0639          	128744.77	162027.22
 IN0640          	127042.92	161602.96
 IN0641          	125328.3	161154.69
 IN0642          	125001.08	162504.49
 IN0643          	126722.58	162915.34
 IN0644          	128417.58	163333.6
 IN0645          	129675.3	162258.59
 IN0646          	127491.73	155423.72
 IN0647          	130161.23	163756.13
 IN0648          	129835.49	165027.32
 IN0649          	128126.02	164615.59
 IN0650          	126402.63	164180.66
 IN0651          	124687.49	163772.48
 IN0652          	122217.64	163178.88
 IN0653          	128783.26	159485.38
 IN0654          	117337.64	138615.79
 IN0655          	117394.56	137260.12
 IN0656          	115091.71	143969.59
 IN0771          	112142.22	181758.3
 IN0772          	113139.48	183061.27
 IN0773          	115141.12	183230.8
 IN0774          	114613.22	184826.05
 IN0775          	112432.08	184237.73
 IN0776          	113611.14	185943.84
 IN0777          	118091.14	183826
 IN0778          	116086.9	186061.25
 IN0779          	114672.11	187649.47
 IN0780          	118798.58	186414.21
 IN0781          	121274.41	186767.02
 IN0782          	121215.45	188590.72
 IN0783          	119841.39	183761.96
 IN0784          	121375.91	183673.76
 IN0785          	122925.02	183590.71
 IN0786          	122932.4	186998.17
 IN0787          	128784.95	159491.9
 IN0807          	122983.2	163363.45
 IN0808          	120323.57	136702.78
 IN0809          	128006.56	157056.06
 IN0810          	115166.11	183236.36
 IN0811          	113358.98	180056.59
 IN0812          	119861.77	183759.92
 IN0813          	63861.26	154085.91
 IN0814          	63547.7	155557.45
 IN0815          	63162.74	156399.89
 IN0816          	62604.56	157233.37
 IN0817          	61863.96	158118.5
 IN0818          	61133.07	158596.69
 IN0819          	60363.3	159113.75
 IN0820          	59449.69	159319.8
 IN0821          	58625.49	159494.75
 IN0822          	57832.4	159673.58
 IN0823          	57043.2	159852.42
 IN0824          	56320.08	159856.31
 IN0825          	54971.04	159864.08
 IN0826          	53641.45	159875.75
 IN0827          	52312.73	159888
 IN0828          	50986.73	159791.02
 IN0829          	49669.71	159690.87
 IN0830          	48222.49	159590.72
 IN0831          	46630.05	159420.46
 IN0832          	44271.43	158859.6
 IN0833          	42523.75	158428.94
 IN0834          	42203.26	159380.39
 IN0835          	41882.77	160406.97
 IN0836          	41567.29	161408.51
 IN0837          	44001.02	160997.88
 IN0838          	44151.25	159791.02
 IN0839          	46504.86	160316.83
 IN0840          	46334.6	161613.82
 IN0841          	43825.75	162259.81
 IN0842          	44677.06	162590.32
 IN0843          	46249.47	162525.22
 IN0844          	47984.82	162468.85
 IN0845          	48043.14	161613.55
 IN0846          	48155.88	160385.04
 IN0847          	49547.68	160439.46
 IN0848          	49396.06	161617.44
 IN0849          	49279.43	162437.75
 IN0850          	50636.24	162375.55
 IN0851          	50721.77	161582.45
 IN0852          	50873.39	160497.78
 IN0853          	51965.84	162325.01
 IN0854          	52078.58	161582.45
 IN0855          	52199.1	160556.1
 IN0856          	53555.92	160614.41
 IN0857          	53404.29	161582.45
 IN0858          	53318.77	162258.91
 IN0859          	54644.48	162231.7
 IN0860          	54761.11	161469.71
 IN0861          	54881.63	160528.88
 IN0862          	56005.18	162173.38
 IN0863          	56114.03	161318.09
 IN0864          	56238.44	160462.79
 IN0865          	56502.36	161170.52
 IN0866          	56856.58	162142.28
 IN0867          	57140.39	160089.57
 IN0868          	57416.42	160847.67
 IN0869          	57768.49	161793.19
 IN0870          	57857.32	162117.41
 IN0871          	58151.19	160591.09
 IN0872          	58505.76	161499.17
 IN0873          	58712	162087.54
 IN0874          	58889.86	160322.83
 IN0875          	59473.02	162056.75
 IN0876          	59208.65	161232.56
 IN0877          	59889	160995.41
 IN0878          	60153.37	162029.54
 IN0879          	59655.74	160058.47
 IN0880          	60565.46	159731.9
 IN0881          	60868.71	160649.4
 IN0882          	61210.82	161652.43
 IN0883          	61309	161978.83
 IN0884          	61218.6	158763.86
 IN0885          	61482.96	159413.11
 IN0886          	61832.86	160291.73
 IN0887          	62509.32	161940.12
 IN0888          	62248.84	161294.76
 IN0889          	62866.99	161057.61
 IN0890          	63100.25	161734.07
 IN0891          	63158.57	161909.02
 IN0892          	63990.54	161411.39
 IN0893          	64130.5	161877.92
 IN0894          	63780.6	160734.93
 IN0895          	64488.17	160470.57
 IN0896          	64721.43	161147.03
 IN0897          	62517.1	160058.47
 IN0898          	63430.71	159735.79
 IN0899          	64161.6	159467.54
 IN0900          	64779.75	159238.16
 IN0901          	65137.42	160264.52
 IN0902          	65370.68	160913.77
 IN0903          	64927.48	161850.7
 IN0904          	65666.14	161819.6
 IN0905          	61980.59	158445.07
 IN0906          	62217.74	159144.86
 IN0907          	63131.36	158822.18
 IN0908          	62866.99	158056.3
 IN0909          	63601.77	157764.72
 IN0910          	63870.02	158557.81
 IN0911          	64223.8	157500.35
 IN0912          	64488.17	158320.66
 IN0913          	63337.4	156940.52
 IN0914          	63928.34	156703.37
 IN0915          	43069.43	157331.6
 IN0916          	44447.45	157911.59
 IN0917          	46688.91	158731.42
 IN0918          	46863.34	157440.62
 IN0919          	45097.21	156764.7
 IN0920          	43658.14	156154.18
 IN0921          	44251.21	154946.24
 IN0922          	45685.92	155556.75
 IN0923          	47159.88	156141.1
 IN0924          	47574.15	154850.3
 IN0925          	46335.68	154409.86
 IN0926          	44809.4	153768.82
 IN0927          	45245.48	152909.74
 IN0928          	45607.43	152181.48
 IN0929          	47364.84	152996.95
 IN0930          	46776.13	153672.88
 IN0931          	47896.85	153969.41
 IN0932          	47953.55	153084.17
 IN0933          	49222.54	153232.44
 IN0934          	49043.75	153938.89
 IN0935          	48869.32	154998.57
 IN0936          	48306.77	158910.22
 IN0937          	48459.4	157615.06
 IN0938          	48660	156289.37
 IN0939          	49750.2	159089.01
 IN0940          	49928.99	157789.49
 IN0941          	50107.79	156468.16
 IN0942          	51075.89	159145.7
 IN0943          	51250.32	157828.74
 IN0944          	51433.47	156529.21
 IN0945          	52785.33	156529.21
 IN0946          	52580.37	157824.37
 IN0947          	52405.94	159145.7
 IN0948          	53731.62	159145.7
 IN0949          	53936.58	157824.37
 IN0950          	54115.38	156529.21
 IN0951          	55445.42	156555.38
 IN0952          	55266.63	157911.59
 IN0953          	55087.84	159115.18
 IN0954          	56444.05	159027.96
 IN0955          	56561.79	158029.33
 IN0956          	57979.06	157676.11
 IN0957          	56766.75	156585.9
 IN0958          	57477.56	156442
 IN0959          	58358.45	158735.78
 IN0960          	59213.17	158439.25
 IN0961          	60037.36	158147.07
 IN0962          	60835.39	157854.9
 IN0963          	61690.11	157558.36
 IN0964          	60394.95	156703.65
 IN0965          	59596.92	157030.71
 IN0966          	58772.72	157353.41
 IN0967          	58301.76	156114.94
 IN0968          	59125.95	155796.6
 IN0969          	61249.67	156380.94
 IN0970          	62104.39	156027.72
 IN0971          	60011.2	155439.01
 IN0972          	60748.17	155146.83
 IN0973          	61602.89	154793.61
 IN0974          	62400.92	154492.71
 IN0975          	63164.06	154204.9
 IN0976          	62898.88	155723.69
 IN0977          	62957.89	153257.61
 IN0978          	61899.43	153262.96
 IN0979          	61101.4	153590.02
 IN0980          	60748.17	153232.44
 IN0981          	59950.14	153206.27
 IN0982          	60246.68	153912.72
 IN0983          	56976.07	155234.05
 IN0984          	57830.79	154880.82
 IN0985          	58598.29	154558.12
 IN0986          	59387.6	154257.23
 IN0987          	59008.21	153555.14
 IN0988          	58890.14	153086.3
 IN0989          	58066.27	152909.74
 IN0990          	58271.23	153794.98
 IN0991          	57119.98	154235.42
 IN0992          	57298.77	152791.99
 IN0993          	55646.02	155203.53
 IN0994          	54294.17	155207.89
 IN0995          	54494.77	153882.2
 IN0996          	55794.29	154056.63
 IN0997          	56003.61	152674.25
 IN0998          	54677.92	152560.87
 IN0999          	52968.48	155203.53
 IN1000          	51638.43	155203.53
 IN1001          	50286.58	155177.36
 IN1002          	50487.18	153882.2
 IN1003          	51817.23	153882.2
 IN1004          	53142.91	153882.2
 IN1005          	53285.96	152814.03
 IN1006          	51934.97	153058
 IN1007          	50578.76	153206.27
 IN1008          	56086.37	152027.01
 IN1009          	57503.12	151463.56
 IN1010          	58240.49	151615.24
 IN1011          	58330.34	150998.65
 IN1012          	59094.93	151764.51
 IN1013          	59300.82	150469.98
 IN1014          	60363.72	150588.36
 IN1015          	60157.83	151911.2
 IN1016          	60953.08	151939.51
 IN1017          	61305.66	150616.67
 IN1018          	60451.22	149911.5
 IN1019          	61714.14	149290.52
 IN1020          	62396.88	149203.76
 IN1021          	62309.37	150644.98
 IN1022          	62450.92	148735.36
 IN1023          	63593.61	149054.49
 IN1024          	62395.52	151973.05
 IN1218          	50548.45	178233.97
 IN1219          	47806.26	175674.69
 IN1220          	50463.22	175584.01
 IN1221          	47715.58	173054.01
 IN1222          	50372.53	172945.19
 IN1223          	50254.65	170324.51
 IN1224          	47597.69	170415.19
 IN1225          	44977.01	170496.8
 IN1226          	42329.12	170614.69
 IN1227          	42238.44	167966.8
 IN1228          	44859.12	167885.19
 IN1229          	47516.08	167767.3
 IN1230          	50163.97	167685.69
 IN1231          	50073.29	165028.73
 IN1232          	47416.33	165146.62
 IN1233          	44768.44	165228.23
 IN1234          	42120.55	165327.98
 IN1235          	39581.48	168057.48
 IN1236          	39490.8	165445.86
 IN1237          	36842.91	165527.48
 IN1238          	36933.59	168175.36
 IN1239          	34185.95	165618.16
 IN1240          	31565.27	165736.04
 IN1241          	31447.38	163088.15
 IN1242          	34095.27	162979.34
 IN1243          	36752.23	162879.59
 IN1244          	39391.05	162770.77
 IN1245          	42029.87	162698.22
 IN1246          	47334.72	162498.73
 IN1247          	49964.47	162417.11
 IN1277          	65423.17	192938.83
 IN1278          	65302.94	190060.66
 IN1279          	68075.9	193141.73
 IN1280          	67790.34	191052.61
 IN1281          	67234.24	188354.8
 IN1282          	69699.1	188768.11
 IN1283          	71585.31	189053.68
 IN1284          	70352.89	191706.4
 IN1285          	71450.05	191706.4
 IN1286          	69293.3	194088.59
 IN1287          	71419.99	193765.46
 IN1288          	72945.49	189354.27
 IN1289          	69706.61	185115.92
 IN1290          	69736.67	186393.44
 IN1291          	71359.87	186618.88
 IN1292          	72644.9	186122.9
 IN1293          	73772.12	184710.12
 IN1294          	71232.12	185506.69
 IN1295          	71006.67	183470.18
 IN1296          	69375.96	183492.72
 IN1297          	71480.11	180561.95
 IN1298          	70678.36	181642.12
 IN1299          	69466.14	179472.3
 IN1300          	72118.87	179442.24
 IN1301          	72126.38	177796.5
 IN1302          	69676.55	176451.35
 IN1303          	67670.1	176714.37
 IN1304          	70473.12	179149.16
 IN1305          	68316.37	180847.51
 IN1306          	66941.17	175594.66
 IN1307          	69819.34	174617.74
 IN1308          	72299.22	176624.19
 IN1309          	70803.77	173415.37
 IN1310          	73712	174144.3
 IN1311          	74688.93	173505.55
 IN1312          	73358.81	177240.4
 IN1313          	73764.61	170416.96
 IN1314          	72915.43	167471.16
 IN1315          	71502.65	165209.2
 IN1316          	74591.24	162977.31
 IN1317          	75102.24	165261.81
 IN1318          	74854.25	169582.82
 IN1319          	75117.27	172926.91
 IN1320          	74065.2	178502.89
 IN1321          	73764.61	179712.77
 IN1322          	74155.38	183101.95
 IN1323          	74531.12	187588.29
 IN1324          	74065.2	189564.68
 IN1325          	72479.58	191946.88
 IN1326          	72306.74	193299.54
 IN1327          	71735.61	195463.8
 IN1328          	68767.26	195298.48
 IN1329          	63837.55	194787.47
 IN1330          	61237.43	192345.16
 IN1373          	148757.27	182232.51
 IN1377          	150086.98	181527.45
 IN1378          	149672.61	180438.94
 IN1379          	148163.53	181230.59
 IN1380          	150934.29	179789.55
 IN1381          	151478.54	180878.06
 IN1384          	146042.18	181379.02
 IN1385          	147693.5	180500.79
 IN1386          	149054.13	179616.38
 IN1387          	148200.64	178942.24
 IN1388          	147105.95	179647.3
 IN1389          	145578.32	180673.96
 IN1390          	150501.36	178818.55
 IN1391          	149969.47	177760.96
 IN1392          	149443.77	176641.53
 IN1393          	148942.81	175590.13
 IN1394          	148256.31	174180.01
 IN1395          	147780.08	173209.01
 IN1396          	147248.2	172120.5
 IN1397          	144811.42	173592.46
 IN1398          	145547.4	174612.94
 IN1399          	146308.12	175701.45
 IN1400          	146369.97	178713.41
 IN1401          	147427.55	177989.8
 IN1402          	146957.51	176882.73
 IN1403          	145603.06	177791.88
 IN1404          	144155.84	178589.71
 IN1405          	144904.19	179709.15
 IN1412          	142863.23	176622.97
 IN1413          	143574.47	177674.38
 IN1414          	144865.42	176849.81
 IN1415          	144162.02	175590.13
 IN1416          	140296.57	175973.58
 IN1417          	142034.48	175379.85
 IN1418          	141626.29	174767.56
 IN1419          	143537.37	174532.54
 IN1420          	142949.82	173555.35
 IN1421          	144100.18	172609.09
 IN1422          	140945.97	173178.09
 IN1424          	144038.33	171631.91
 IN1425          	144124.91	170673.28
 IN1426          	145411.34	170673.28
 IN1427          	146957.51	171502.03
 IN1428          	146957.51	169850.71
 IN1429          	149938.55	170351.67
 IN1430          	144322.83	169411.59
 IN1431          	150365.29	170531.03
 IN1432          	160205.18	163894.83
 IN1433          	160866.94	165218.36
 IN1480          	132675.85	164347.24
 IN1481          	135154.7	165912.82
 IN1482          	139373.08	168565.62
 IN1483          	111358.33	133005.14
 IN1484          	113180.96	133115.91
 IN1485          	116188.75	133321.44
 IN1486          	109347	132910.93
 IN1487          	107924.52	132854.09
 IN1488          	107093.62	135499.27
 IN1489          	106625.51	132612.42
 IN1490          	107582.01	129527.53
 IN1491          	108820.73	130115.1
 IN1492          	110084.23	130234.7
 IN1493          	111740.98	130386.99
 IN1494          	113885.85	130588.38
 IN1495          	116393.33	130763.78
 IN1496          	118014.47	130880.41
 IN1497          	118016.27	133439.08
 IN1498          	118163.29	127675.49
 IN1499          	116628.56	127616.11
 IN1500          	114006.69	127527.16
 IN1501          	114157.45	124971.43
 IN1502          	116806.7	125058.22
 IN1503          	118749.57	125150.68
 IN1504          	112558.77	124912.05
 IN1505          	112243.61	127469.94
 IN1506          	110612.95	127378.59
 IN1507          	110617.52	124820.7
 IN1508          	109110.19	124761.32
 IN1509          	108961.71	127325.76
 IN1510          	107491.91	126850.7
 IN1511          	106575.16	127003.53
 IN1512          	105920.62	125009.71
 IN1513          	107340.47	124768.03
