,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
80,Residential,Single Family Dwelling,,73 FREDDIE MOORE DRIVE,1450.45,21159950300,POINT (5875446.706128675 3812224.805062692)
81,Residential,Manufactured Home,,19 FRANCIS COURT,1054.874,21159950300,POINT (5909338.888545582 3813423.6241972535)
87,Unclassified,Unclassified,,10210 MEATHOUSE ROAD,791.1387,21159950201,POINT (5858858.605335697 3792599.4497889318)
88,Residential,Unclassified,,2909 PIGEON ROOST ROAD,1648.227,21159950300,POINT (5876678.225110683 3813616.1017333735)
90,Unclassified,Unclassified,,2584 AIRPORT ROAD,6428.07,21159950201,POINT (5827318.444464468 3807235.3301882404)
91,Residential,Single Family Dwelling,,13190 RIVER FRONT ROAD,1384.521,21159950300,POINT (5909651.411022905 3814674.2280704756)
92,Residential,Unclassified,,2943 PIGEON ROOST ROAD,2637.152,21159950300,POINT (5876695.8324891245 3813481.6281363186)
93,Unclassified,Unclassified,,2969 AIRPORT ROAD,13713.24,21159950201,POINT (5819684.720349127 3811445.656416815)
94,Residential,Unclassified,,2584 AIRPORT ROAD,2983.272,21159950201,POINT (5827816.679488338 3807237.002865216)
96,Residential,Unclassified,,13369 RIVER FRONT ROAD,692.2492,21159950300,POINT (5909498.577369834 3813550.625168923)
97,Unclassified,Unclassified,,7772 MIDDLE FORK WOLF CREEK,2373.436,21159950201,POINT (5850702.6320588775 3806682.926421153)
98,Residential,Unclassified,,13369 RIVER FRONT ROAD,1780.095,21159950300,POINT (5909502.57240325 3813499.35898545)
1,Residential,Unclassified,,7828 MEATHOUSE ROAD,1977.87,21159950201,POINT (5860738.96210266 3802195.756724225)
2,Residential,Single Family Dwelling,,13168 RIVER FRONT ROAD,461.506,21159950300,POINT (5909557.078331482 3815069.142654146)
3,Residential,Single Family Dwelling,,13168 RIVER FRONT ROAD,2192.144,21159950300,POINT (5909611.964037867 3815040.121461533)
4,Residential,Unclassified,,2871 PIGEON ROOST ROAD,1813.037,21159950300,POINT (5876717.009186319 3813837.3023139234)
5,Residential,Manufactured Home,,8360 MEATHOUSE ROAD,2109.716,21159950201,POINT (5859611.16473906 3799927.231769306)
6,Residential,Manufactured Home,,8396 MEATHOUSE ROAD,2571.23,21159950201,POINT (5859676.669832591 3799867.441864761)
8,Unclassified,Unclassified,,6056 MEATHOUSE ROAD,2373.438,21159950201,POINT (5859882.26195831 3808464.40361797)
9,Residential,Unclassified,,2909 PIGEON ROOST ROAD,3428.296,21159950300,POINT (5876658.608102205 3813694.065643725)
10,Unclassified,Unclassified,,2584 AIRPORT ROAD,1038.391,21159950201,POINT (5827906.79577 3807374.7760942047)
11,Unclassified,Unclassified,,2584 AIRPORT ROAD,2142.693,21159950201,POINT (5826402.06368909 3807312.699797116)
12,Residential,Manufactured Home,,8396 MEATHOUSE ROAD,527.4341,21159950201,POINT (5859687.394779701 3799822.662049943)
13,Unclassified,Unclassified,,6146 PIGEON ROOST ROAD,791.1453,21159950300,POINT (5879676.870272417 3800482.7454614704)
14,Residential,Manufactured Home,,8396 MEATHOUSE ROAD,3164.589,21159950201,POINT (5859716.727257529 3799763.892237047)
15,Residential,Single Family Dwelling,,1062 BLACKBERRY ROAD,1071.341,21159950201,POINT (5841028.876472227 3834833.9620230664)
16,Residential,Single Family Dwelling,,3147 SOUTH WOLF CREEK,1582.307,21159950300,POINT (5863776.555384091 3819329.2366871336)
17,Residential,Single Family Dwelling,,22 WOODY JUDE ROAD,1318.571,21159950300,POINT (5876041.984249435 3823282.9734941823)
19,Residential,Unclassified,,2270 LITTLE ROCKCASTLE ROAD,593.3595,21159950201,POINT (5869291.2364016315 3832307.7417041226)
20,Unclassified,Unclassified,,1401 NORTH WOLF CREEK,1977.866,21159950100,POINT (5879657.092270433 3828220.320480309)
21,Residential,Manufactured Home,,101 RUSSELL GOBLE LANE,1285.625,21159950202,POINT (5831463.429463712 3826557.89375665)
22,Residential,Single Family Dwelling,,34 MULLETT BRANCH,2900.86,21159950201,POINT (5854088.125034337 3831739.2433240456)
23,Residential,Manufactured Home,,957 LONG BRANCH,1977.864,21159950300,POINT (5897560.6868712595 3828845.773268667)
24,Residential,Single Family Dwelling,,597 BIG BRANCH,1186.728,21159950100,POINT (5878682.749664355 3832629.985432394)
25,Residential,Manufactured Home,,3523 RIVER FRONT ROAD,1054.86,21159950100,POINT (5890694.144981952 3836523.541521687)
26,Residential,Single Family Dwelling,,79 OJ PLACE,527.4336,21159950202,POINT (5824340.032494138 3834229.8129230905)
27,Commercial,Professional/Technical Services,,7505 NEW ROUTE 3,1384.5,21159950202,POINT (5827180.3857134925 3821584.099815384)
28,Residential,Unclassified,,2270 LITTLE ROCKCASTLE ROAD,1450.441,21159950201,POINT (5869263.574710879 3832280.738006374)
29,Residential,Unclassified,,1583 PIGEON ROOST ROAD,2307.513,21159950300,POINT (5875920.166632478 3819649.1762589854)
30,Residential,Unclassified,,4529 COLDWATER ROAD,2076.758,21159950201,POINT (5854483.09670779 3831754.216663999)
31,Residential,Unclassified,,3972 NORTH WOLF CREEK,1780.07,21159950100,POINT (5883169.452882339 3836250.908849086)
32,Unclassified,Unclassified,,982 SAWMILL HOLLOW,1054.853,21159950201,POINT (5830034.999332683 3818053.3225236256)
33,Unclassified,Unclassified,,1583 PIGEON ROOST ROAD,923.0139,21159950300,POINT (5875960.555050631 3819618.870753664)
35,Unclassified,Unclassified,,909 BIG BRANCH,2769.001,21159950100,POINT (5877000.807047689 3832540.1586158476)
36,Residential,Single Family Dwelling,,34 MULLETT BRANCH,527.4286,21159950201,POINT (5854002.972001126 3831745.977858281)
38,Unclassified,Unclassified,,8275 RIVER FRONT ROAD,791.1454,21159950300,POINT (5906575.785494523 3824334.397228275)
39,Commercial,Personal and Repair Services,,3233 NEW ROUTE 3,3543.677,21159950201,POINT (5840683.123470132 3834743.621127064)
40,Commercial,Retail Trade,,1021 HONEY BRANCH INDUSTRIAL PARK,50336.77,21159950201,POINT (5821359.067749871 3817575.4471617914)
41,Residential,Manufactured Home,,1571 EMILY CREEK,2637.14,21159950100,POINT (5886526.986816592 3828345.191287524)
42,Residential,Manufactured Home,,695 BIG BRANCH,2801.988,21159950100,POINT (5878192.760994348 3832560.6119619776)
43,Residential,Single Family Dwelling,,10566 MEATHOUSE ROAD,3659.052,21159950201,POINT (5857995.272873885 3790934.4905606443)
44,Residential,Single Family Dwelling,,547 CASSIUS MOORE ROAD,1318.561,21159950201,POINT (5861149.805310765 3815573.671397596)
45,Residential,Single Family Dwelling,,5123 PIGEON ROOST ROAD,2241.596,21159950300,POINT (5877999.527178608 3804330.86329479)
46,Unclassified,Unclassified,,2589 AIRPORT ROAD,659.2799,21159950201,POINT (5821603.575226802 3809880.785905259)
47,Residential,Manufactured Home,,667 CASSIUS MOORE ROAD,3197.55,21159950201,POINT (5860447.801719241 3815514.025063768)
48,Residential,Single Family Dwelling,,5139 PIGEON ROOST ROAD,3428.311,21159950300,POINT (5878079.950423339 3804267.9190052114)
51,Residential,Unclassified,,10980 RIVER FRONT ROAD,1846.012,21159950300,POINT (5911694.557906021 3819413.855832205)
53,Unclassified,Unclassified,,12370 RIVER FRONT ROAD,988.9366,21159950300,POINT (5912131.639293149 3817329.83975502)
54,Residential,Single Family Dwelling,,4292 PIGEON ROOST ROAD,791.1477,21159950300,POINT (5878236.813712219 3807748.2494860445)
56,Residential,Manufactured Home,,42 FREDDIE MOORE DRIVE,1977.857,21159950300,POINT (5875686.229990976 3812358.3675873)
57,Unclassified,Unclassified,,337 CANEY FORK,1054.862,21159950300,POINT (5879497.110367592 3803004.7128451318)
58,Unclassified,Unclassified,,7828 MEATHOUSE ROAD,1120.791,21159950201,POINT (5860800.121260173 3802245.641406907)
60,Residential,Single Family Dwelling,,40 TAYLORS LANE,3955.727,21159950300,POINT (5909640.05756267 3813620.2611528016)
61,Unclassified,Unclassified,,30 ENTERPRISE DRIVE,22053.26,21159950201,POINT (5816045.3024526015 3813041.9133847975)
63,Unclassified,Unclassified,,3734 SOUTH WOLF CREEK,1054.868,21159950201,POINT (5864007.675560774 3816600.685193416)
65,Unclassified,Unclassified,,2589 AIRPORT ROAD,17223.92,21159950201,POINT (5820831.288553081 3809901.023592921)
66,Residential,Unclassified,,13483 RIVER FRONT ROAD,1186.713,21159950300,POINT (5909171.373101252 3813052.1467667846)
67,Unclassified,Unclassified,,9074 MIDDLE FORK WOLF CREEK,1450.455,21159950201,POINT (5857976.078662178 3807289.764391238)
68,Residential,Manufactured Home,,8566 MEATHOUSE ROAD,659.29,21159950201,POINT (5860339.876306775 3798876.0039123767)
69,Residential,Single Family Dwelling,,13342 RIVER FRONT ROAD,2307.518,21159950300,POINT (5909278.947490425 3813697.111725735)
70,Unclassified,Unclassified,,9090 MIDDLE FORK WOLF CREEK,1615.27,21159950201,POINT (5858101.115368072 3807222.206883404)
71,Residential,Single Family Dwelling,,13331 RIVER FRONT ROAD,412.0591,21159950300,POINT (5909763.981726136 3813712.484162144)
72,Residential,Single Family Dwelling,,20 TAYLORS LANE,2472.329,21159950300,POINT (5909480.654190494 3813668.8180424846)
73,Residential,Unclassified,,12546 RIVER FRONT ROAD,2373.442,21159950300,POINT (5911928.793843243 3816455.827264517)
74,Residential,Single Family Dwelling,,10046 MEATHOUSE ROAD,3032.754,21159950201,POINT (5858427.595115131 3793236.4144117422)
75,Unclassified,Unclassified,,2592 PIGEON ROOST ROAD,923.0054,21159950300,POINT (5875999.598432385 3815107.313180572)
76,Unclassified,Unclassified,,354 HONEY BRANCH INDUSTRIAL PARK,57358.2,21159950201,POINT (5818023.155536118 3815533.9272338697)
77,Unclassified,Unclassified,,7772 MIDDLE FORK WOLF CREEK,527.4368,21159950201,POINT (5850469.980870151 3807077.5436459533)
78,Residential,Unclassified,,13333 RIVER FRONT ROAD,3263.477,21159950300,POINT (5909582.710892143 3813776.6429730854)
79,Residential,Single Family Dwelling,,13342 RIVER FRONT ROAD,1846.011,21159950300,POINT (5909317.129234541 3813761.3154323315)
80,Residential,Manufactured Home,,8607 MEATHOUSE ROAD,2769.022,21159950300,POINT (5860531.639805806 3798885.0290548312)
81,Unclassified,Unclassified,,7772 MIDDLE FORK WOLF CREEK,1186.729,21159950201,POINT (5850501.8390580015 3807059.940923524)
83,Unclassified,Unclassified,,2584 AIRPORT ROAD,5043.582,21159950201,POINT (5827692.890117448 3806259.524653508)
84,Residential,Unclassified,,12370 RIVER FRONT ROAD,1846.013,21159950300,POINT (5912155.97805818 3817424.9838615316)
86,Residential,Unclassified,,13500 RIVER FRONT ROAD,2472.317,21159950300,POINT (5908980.886288532 3812962.9982624217)
88,Residential,Single Family Dwelling,,20 TAYLORS LANE,593.3688,21159950300,POINT (5909550.647398281 3813674.5413594367)
89,Residential,Manufactured Home,,6476 MEATHOUSE ROAD,2307.516,21159950201,POINT (5861113.020601761 3807212.4985451926)
90,Residential,Manufactured Home,,90 FREDDIE MOORE DRIVE,2801.99,21159950300,POINT (5875486.626967008 3812418.4877766795)
91,Residential,Single Family Dwelling,,94 HALE DRIVE,1450.415,21159950300,POINT (5876926.459505398 3818196.565316857)
92,Residential,Single Family Dwelling,,5123 PIGEON ROOST ROAD,1054.87,21159950300,POINT (5877930.402477638 3804390.3963556797)
94,Unclassified,Unclassified,,9090 MIDDLE FORK WOLF CREEK,1483.399,21159950201,POINT (5858143.063612635 3807359.7688764324)
95,Residential,Single Family Dwelling,,5218 SOUTH WOLF CREEK,692.2593,21159950201,POINT (5861795.05327151 3812135.614855325)
96,Residential,Single Family Dwelling,,13325 RIVER FRONT ROAD,1087.83,21159950300,POINT (5909679.672451407 3813837.8675908945)
97,Residential,Single Family Dwelling,,13331 RIVER FRONT ROAD,2356.979,21159950300,POINT (5909682.349901683 3813711.41524044)
98,Residential,Single Family Dwelling,,20 FREDDIE MOORE DRIVE,2373.438,21159950300,POINT (5875778.140867705 3812479.983270961)
99,Residential,Single Family Dwelling,,4292 PIGEON ROOST ROAD,2109.712,21159950300,POINT (5878191.499264632 3807832.1499944483)
0,Residential,Manufactured Home,,12258 RIVER FRONT ROAD,2801.987,21159950300,POINT (5912386.12894532 3818040.2252384922)
1,Residential,Single Family Dwelling,,10205 MEATHOUSE ROAD,988.9235,21159950300,POINT (5859241.780670791 3792300.0831467905)
2,Unclassified,Unclassified,,2938 AIRPORT ROAD,16235.02,21159950201,POINT (5819572.811776948 3810641.886786321)
3,Residential,Single Family Dwelling,,13303 RIVER FRONT ROAD,4104.075,21159950300,POINT (5909810.3215073235 3813847.6591212596)
4,Unclassified,Unclassified,,12497 RIVER FRONT ROAD,1483.413,21159950300,POINT (5912114.953959617 3816731.0881483904)
5,Unclassified,Unclassified,,142 SPRING LANE,1120.787,21159950300,POINT (5911435.317886247 3816706.612411714)
7,Unclassified,Unclassified,,142 SPRING LANE,527.4216,21159950300,POINT (5911386.495793014 3816677.9165053586)
8,Residential,Unclassified,,142 SPRING LANE,3972.213,21159950300,POINT (5911271.42289656 3816642.2010603854)
9,Residential,Single Family Dwelling,,2490 PIGEON ROOST ROAD,923.003,21159950300,POINT (5877216.184296561 3815441.0513905417)
10,Residential,Unclassified,,55 SPRING LANE,1681.193,21159950300,POINT (5911788.38750614 3816643.0792398965)
11,Residential,Unclassified,,12511 RIVER FRONT ROAD,2373.45,21159950300,POINT (5912109.82320145 3816640.2952565746)
12,Unclassified,Unclassified,,161 SPRING LANE,857.0789,21159950300,POINT (5911195.999410656 3816603.421876976)
13,Residential,Unclassified,,12546 RIVER FRONT ROAD,2637.172,21159950300,POINT (5911876.382361238 3816597.4770931713)
14,Residential,Single Family Dwelling,,2509 PIGEON ROOST ROAD,922.9963,21159950300,POINT (5876776.172090001 3815309.562245629)
16,Residential,Single Family Dwelling,,1258 BIG PETER CAVE ROAD,906.5176,21159950300,POINT (5870675.219579309 3816922.545193484)
17,Residential,Manufactured Home,,2817 PIGEON ROOST ROAD,2801.986,21159950300,POINT (5876886.241144145 3814068.4380262615)
19,Unclassified,Unclassified,,6083 PIGEON ROOST ROAD,1977.862,21159950300,POINT (5879564.222741457 3800852.861361501)
20,Residential,Unclassified,,2584 AIRPORT ROAD,1714.157,21159950201,POINT (5827205.302843119 3807577.367399144)
21,Residential,Single Family Dwelling,,1250 BIG PETER CAVE ROAD,2637.153,21159950300,POINT (5870735.455882334 3816878.1993116657)
22,Residential,Single Family Dwelling,,2831 PIGEON ROOST ROAD,3626.113,21159950300,POINT (5876879.068171118 3813949.9254938024)
23,Unclassified,Unclassified,,2584 AIRPORT ROAD,1483.394,21159950201,POINT (5827162.244088851 3807529.7592147933)
24,Residential,Unclassified,,2584 AIRPORT ROAD,2637.174,21159950201,POINT (5827194.401465787 3807470.3979093553)
26,Residential,Manufactured Home,,2855 PIGEON ROOST ROAD,1911.954,21159950300,POINT (5876796.488495498 3813883.4201515857)
27,Residential,Single Family Dwelling,,2195 PIGEON ROOST ROAD,2307.514,21159950300,POINT (5876313.095103467 3817046.755140373)
28,Commercial,Retail Trade,,900 MIDDLE FORK WOLF CREEK,1582.292,21159950201,POINT (5833055.743138873 3818488.8772414816)
29,Commercial,Retail Trade,,900 MIDDLE FORK WOLF CREEK,791.1403,21159950201,POINT (5833198.533225926 3818468.900462671)
30,Residential,Manufactured Home,,2453 SOUTH WOLF CREEK,1878.977,21159950300,POINT (5865885.961410543 3819566.1413293253)
31,Residential,Unclassified,,21 BIG PETER CAVE ROAD,3263.483,21159950300,POINT (5875543.428045641 3819907.242304323)
32,Residential,Unclassified,,3620 COLDWATER ROAD,2373.439,21159950201,POINT (5856859.972235763 3835476.425503938)
33,Residential,Single Family Dwelling,,196 BIG PETER CAVE ROAD,1450.421,21159950300,POINT (5874660.20900647 3819865.9228833965)
34,Unclassified,Unclassified,,1247 SOUTH WOLF CREEK,1681.186,21159950300,POINT (5869961.988522812 3823237.6288406854)
35,Residential,Manufactured Home,,547 PIGEON ROOST ROAD,1878.975,21159950300,POINT (5876417.623990322 3823453.637414937)
36,Residential,Single Family Dwelling,,817 WHITE OAK ROAD,2637.155,21159950300,POINT (5882307.4583597295 3823641.56639375)
37,Residential,Unclassified,,1918 LONG BRANCH,2637.176,21159950300,POINT (5899520.186093924 3824267.859231284)
38,Residential,Unclassified,,4529 COLDWATER ROAD,2109.709,21159950201,POINT (5854457.457211036 3831874.9730542297)
39,Residential,Single Family Dwelling,,41 BLANCHE GOBLE DRIVE,2307.515,21159950202,POINT (5833678.171645004 3826746.7631839723)
40,Residential,Single Family Dwelling,,597 BIG BRANCH,3082.189,21159950100,POINT (5878619.324663222 3832722.9064854197)
41,Residential,Manufactured Home,,823 FROG POND ROAD,1318.586,21159950100,POINT (5872545.215440346 3832520.7059265324)
42,Residential,Single Family Dwelling,,583 BIG BRANCH,1318.587,21159950100,POINT (5878701.1354808 3832729.958461448)
43,Commercial,Retail Trade,,213 INDUSTRIAL ROAD,1186.732,21159950201,POINT (5820722.512191663 3818007.4307895983)
44,Residential,Unclassified,,22 GLEN WEBB DRIVE,3164.608,21159950100,POINT (5883416.1451370455 3836380.3376555126)
45,Residential,Manufactured Home,,101 RUSSELL GOBLE LANE,395.5765,21159950202,POINT (5831373.7482517725 3826680.6712662634)
46,Unclassified,Unclassified,,1187 DAVELLA ROAD,2142.696,21159950202,POINT (5835202.99858178 3826785.3456429453)
47,Residential,Manufactured Home,,3505 DAVELLA ROAD,1384.517,21159950202,POINT (5828137.488241193 3821742.1961036604)
48,Residential,Manufactured Home,,101 RUSSELL GOBLE LANE,2769.027,21159950202,POINT (5831414.27954612 3826655.113880821)
49,Residential,Manufactured Home,,3545 RIVER FRONT ROAD,1054.868,21159950100,POINT (5890778.257633085 3836640.131391223)
50,Commercial,Retail Trade,,189 INDUSTRIAL ROAD,4219.434,21159950201,POINT (5820803.3084437065 3817947.7252807277)
51,Residential,Single Family Dwelling,,613 BIG BRANCH,1977.866,21159950100,POINT (5878533.636145853 3832698.980906297)
52,Residential,Single Family Dwelling,,1934 LONG BRANCH,1582.29,21159950300,POINT (5899609.116993417 3824209.188081131)
53,Residential,Single Family Dwelling,,360 JACK CASSADY BRANCH,1648.227,21159950201,POINT (5859300.039621714 3835510.5731360014)
54,Commercial,Retail Trade,,900 MIDDLE FORK WOLF CREEK,3527.198,21159950201,POINT (5833113.4950422235 3818337.3316335147)
55,Residential,Single Family Dwelling,,327 JACK CASSADY BRANCH,791.1433,21159950201,POINT (5859467.002126177 3835515.722961767)
56,Residential,Single Family Dwelling,,3700 LITTLE ROCKCASTLE ROAD,1318.578,21159950201,POINT (5873258.110567838 3828088.7371732285)
57,Residential,Manufactured Home,,3801 LITTLE ROCKCASTLE ROAD,791.1471,21159950100,POINT (5873650.945733424 3828106.1987494356)
58,Residential,Single Family Dwelling,,3700 LITTLE ROCKCASTLE ROAD,3955.717,21159950201,POINT (5873348.893995893 3828076.3413716806)
59,Residential,Unclassified,,3992 NORTH WOLF CREEK,2801.975,21159950100,POINT (5883331.6342179105 3836334.655622794)
61,Commercial,Retail Trade,,189 INDUSTRIAL ROAD,1681.211,21159950201,POINT (5820819.176827167 3817887.1516667604)
62,Residential,Unclassified,,2260 LITTLE ROCKCASTLE ROAD,1780.092,21159950201,POINT (5869330.429100477 3832336.944921533)
63,Residential,Unclassified,,3880 NORTH WOLF CREEK,1648.231,21159950100,POINT (5882652.185497215 3836308.5946321385)
64,Residential,Single Family Dwelling,,643 JONES FORK,1582.275,21159950201,POINT (5842387.038843048 3831401.5266287574)
65,Commercial,Retail Trade,,900 MIDDLE FORK WOLF CREEK,1977.886,21159950201,POINT (5833163.76044886 3818285.683222657)
66,Residential,Unclassified,,22 GLEN WEBB DRIVE,1318.569,21159950100,POINT (5883483.148621022 3836333.179663546)
