PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,SQFEET,CENSUSCODE,geometry
1023 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2076.79,21159950100,POINT (5886210.148656383 3844516.124836011)
1024 COLLINS CREEK,Residential,Single Family Dwelling,,494.468,21159950100,POINT (5881299.682068625 3843887.946938986)
10259 YELLOW CREEK,Residential,Single Family Dwelling,,2637.175,21159950202,POINT (5860350.643685489 3881027.4988950454)
1029 TRACE FORK,Residential,Manufactured Home,,4598.5419999999995,21159950202,POINT (5824604.765778168 3839863.389742105)
10297 YELLOW CREEK,Residential,Single Family Dwelling,,3098.6795,21159950202,POINT (5860087.841783489 3881084.522421153)
103 BILL STEPP BRANCH,Residential,Manufactured Home,,1780.096,21159950201,POINT (5852346.783427265 3852659.943382033)
103 BOONE BRANCH,Residential,Single Family Dwelling,,3807.392,21159950201,POINT (5847855.832341812 3849337.4945624)
103 BROOKEVIEW HEIGHTS,Residential,Unclassified,,3955.732,21159950100,POINT (5859148.132840261 3848607.3782272)
103 CRUM BRANCH,Residential,Manufactured Home,,4549.084,21159950201,POINT (5844815.613653852 3840354.898043653)
103 HODE ROAD,Residential,Unclassified,,1780.066,21159950100,POINT (5882785.045326631 3848324.439161433)
103 KENNEY DRIVE,Residential,Single Family Dwelling,,3230.5194,21159950202,POINT (5836162.451364491 3863921.787085233)
103 RATLIFF TOWN ROAD,Residential,Manufactured Home,,923.0064,21159950202,POINT (5846645.059075898 3882827.4157100655)
103 WILLIAMS BRANCH SPUR,Unclassified,Unclassified,,791.1437,21159950100,POINT (5874719.114271025 3866651.9154375647)
1030 WEST MAIN STREET,Unclassified,Unclassified,,692.2543,21159950202,POINT (5843679.868837422 3856472.7373915575)
1031 SALTWELL ROAD,Residential,Single Family Dwelling,,2076.758,21159950202,POINT (5841436.726520074 3846946.4315904393)
1033 HODE ROAD,Residential,Unclassified,,5274.291300000001,21159950100,POINT (5882297.95549939 3852604.5403896044)
1034 SOUTH MILO ROAD,Residential,Single Family Dwelling,,5010.605600000001,21159950202,POINT (5836289.052907331 3864871.7812022106)
1035 WEST MAIN STREET,Unclassified,Unclassified,,1483.407,21159950202,POINT (5843947.307308032 3856501.3655553865)
10353 YELLOW CREEK,Residential,Single Family Dwelling,,1582.313,21159950202,POINT (5859783.682626433 3881143.934120127)
1037 BIG LICK ROAD,Residential,Single Family Dwelling,,3790.9170000000004,21159950202,POINT (5849295.823046569 3871475.594061479)
1039 LITTLE PETER CAVE ROAD,Residential,Single Family Dwelling,,3626.106,21159950100,POINT (5876175.726494914 3837682.181205619)
104 BILL STEPP BRANCH,Residential,Unclassified,,1681.192,21159950201,POINT (5852284.842387329 3852568.8767765975)
104 EAST MAIN STREET,Unclassified,Unclassified,,18839.19,21159950201,POINT (5848436.1492824685 3854912.399493452)
104 HARVEY HORN ROAD,Residential,Manufactured Home,,3576.6603,21159950202,POINT (5855703.285003499 3861571.702947319)
104 HODE ROAD,Residential,Single Family Dwelling,,1648.226,21159950100,POINT (5882746.587730251 3848517.1462886995)
104 HORSE BRANCH,Residential,Single Family Dwelling,,3428.3301,21159950202,POINT (5830613.334830606 3848861.53175293)
104 KENNEY DRIVE,Residential,Single Family Dwelling,,2373.445,21159950202,POINT (5835967.335268074 3864113.0106200706)
104 MELANIE LANE,Residential,Single Family Dwelling,,4549.1176,21159950202,POINT (5837368.505241028 3873185.208802631)
104 TOM EVANS LANE,Residential,Single Family Dwelling,,4137.041,21159950100,POINT (5883364.916709884 3845239.8701873827)
104 TOMAHAWK ROAD,Agriculture,Agriculture,,1186.734,21159950202,POINT (5842354.064110706 3856007.9478159994)
1042 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,2637.162,21159950202,POINT (5843893.573689978 3858220.6343109426)
1042 UNION ROAD,Residential,Single Family Dwelling,,791.1505,21159950202,POINT (5855822.552950929 3866808.7049943656)
1044 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,3230.531,21159950202,POINT (5844017.590410863 3858303.049606237)
1045 BIG LICK ROAD,Residential,Single Family Dwelling,,2505.3085,21159950202,POINT (5849416.05240982 3871444.351742026)
1047 CASSELL BRANCH,Residential,Manufactured Home,,2109.724,21159950202,POINT (5849315.25264467 3865794.6444529365)
1047 DAVELLA ROAD,Residential,Single Family Dwelling,,1977.859,21159950202,POINT (5834840.450574658 3828077.2992565846)
105 BEECHWOOD ESTATE,Unclassified,Unclassified,,2900.87,21159950202,POINT (5837538.698067897 3859061.2256752276)
105 CLINE BOTTOM,Residential,Manufactured Home,,1318.577,21159950202,POINT (5844423.879428763 3842206.1697634715)
105 GROUNDHOG ROAD,Residential,Single Family Dwelling,,4120.56,21159950100,POINT (5882131.737955555 3847114.9855706966)
105 JACKSON ROAD,Residential,Manufactured Home,,5933.6228,21159950202,POINT (5834648.189960948 3827624.411397113)
105 LEONARD PRESTON ROAD,Residential,Unclassified,,1450.442,21159950202,POINT (5840770.134518823 3871277.6341287126)
105 SYCAMORE ESTATE,Residential,Single Family Dwelling,,2505.289,21159950202,POINT (5844404.431692933 3859385.5994675485)
105 WOOTEN ROAD,Residential,Single Family Dwelling,,2307.518,21159950202,POINT (5824761.363598741 3851112.857640068)
1052 LITTLE BLACKLOG ROAD,Unclassified,Unclassified,,1450.446,21159950100,POINT (5859133.626435412 3853315.147497274)
10531 MEATHOUSE ROAD,Unclassified,Unclassified,,1878.9654,21159950300,POINT (5858391.904798715 3791098.261207816)
1054 EAST MAIN STREET,Commercial,Professional/Technical Services,,2769.007,21159950201,POINT (5851225.979485657 3853043.179524413)
1054 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,791.1456,21159950202,POINT (5843991.1437190855 3858385.457360778)
10559 MEATHOUSE ROAD,Unclassified,Unclassified,,659.2769,21159950300,POINT (5858272.932446311 3790997.588019007)
10566 MEATHOUSE ROAD,Residential,Single Family Dwelling,,3659.052,21159950201,POINT (5857995.272873885 3790934.4905606443)
106 LITTLE ROCKCASTLE ROAD,Residential,Manufactured Home,,1582.307,21159950201,POINT (5867667.586176992 3842217.2332512676)
106 MUDDY BRANCH,Unclassified,Unclassified,,3098.6465000000003,21159950201,POINT (5857648.332384154 3838925.620492716)
106 ROCKHOUSE MILLS ROAD,Residential,Single Family Dwelling,,1153.761,21159950202,POINT (5829852.766468789 3850618.5313053136)
106 STEPP BRANCH,Residential,Unclassified,,1318.586,21159950300,POINT (5903911.353507495 3827070.3519277354)
106 WEBB HOLLOW,Unclassified,Unclassified,,1615.252,21159950202,POINT (5851463.398598616 3885044.290088784)
106 WEST POPLAR ROAD,Residential,Single Family Dwelling,,1384.516,21159950100,POINT (5867582.060274393 3853084.8028633436)
1061 COLDWATER ROAD,Unclassified,Unclassified,,2373.451,21159950201,POINT (5855755.220641895 3845876.925244808)
1061 DAVELLA ROAD,Residential,Manufactured Home,,1648.223,21159950202,POINT (5834844.224992479 3827958.256014126)
1062 BLACKBERRY ROAD,Residential,Single Family Dwelling,,1071.341,21159950201,POINT (5841028.876472227 3834833.9620230664)
1063 NORTH WOLF CREEK,Residential,Unclassified,,2109.706,21159950100,POINT (5878471.458188084 3827360.6956257084)
1064 SALTWELL ROAD,Residential,Manufactured Home,,2620.6598,21159950202,POINT (5841217.125719128 3847027.730113037)
10659 YELLOW CREEK,Residential,Single Family Dwelling,,1648.233,21159950202,POINT (5858250.544349737 3881160.2533157156)
1066 COLLINS CREEK,Residential,Unclassified,,2637.1748,21159950100,POINT (5881127.983406297 3843781.4411032884)
1066 UNION ROAD,Residential,Single Family Dwelling,,725.2197,21159950202,POINT (5856072.30767038 3865720.2240555603)
1067 CASSELL BRANCH,Residential,Unclassified,,3411.818,21159950202,POINT (5849500.680738571 3865789.312119683)
1067 ROCKCASTLE ROAD,Residential,Manufactured Home,,1186.718,21159950202,POINT (5843849.62281374 3858378.766446754)
1068 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,1384.506,21159950202,POINT (5843986.868383962 3858442.327900911)
107 CHARLIE CLINE ROAD,Commercial,Personal and Repair Services,,3873.3230000000003,21159950202,POINT (5840215.737033205 3838229.611190118)
107 HARLESS ROAD,Residential,Manufactured Home,,1994.347,21159950202,POINT (5817121.7372854715 3850973.481062711)
107 KIRK PLAZA,Residential,Single Family Dwelling,,1582.286,21159950202,POINT (5846701.469450873 3847044.3638354605)
107 LIGHTHOUSE LANE,Residential,Single Family Dwelling,,1120.799,21159950201,POINT (5853838.625887203 3848280.1573864776)
107 OLE BLUE DRIVE,Residential,Single Family Dwelling,,4351.317,21159950201,POINT (5843468.970914655 3840474.2437357553)
107 PENIX DRIVE,Residential,Unclassified,,3790.932,21159950202,POINT (5846747.863362027 3855324.254460381)
107 SOUTH MILO ROAD,Residential,Single Family Dwelling,,3296.429,21159950202,POINT (5835219.723370408 3861590.1325047524)
1072 TUG RIVER ROAD,Residential,Single Family Dwelling,,1681.185,21159950100,POINT (5865462.754720532 3871418.7289733486)
10727 YELLOW CREEK,Residential,Single Family Dwelling,,2900.866,21159950202,POINT (5857998.265830836 3880860.603397283)
1073 CASSELL BRANCH,Residential,Manufactured Home,,791.1476,21159950202,POINT (5849741.072114718 3865708.44834316)
1073 EMILY CREEK,Residential,Manufactured Home,,1648.223,21159950100,POINT (5884485.735648814 3826881.1148442836)
1078 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,923.0183,21159950202,POINT (5843979.023320935 3858545.298110044)
1079 COLDWATER ROAD,Residential,Single Family Dwelling,,9032.2673,21159950201,POINT (5855771.581708068 3845812.1982668205)
108 CARDINAL ESTATE,Residential,Manufactured Home,,1450.448,21159950201,POINT (5857323.332721267 3844306.9527086765)
108 CLYDE DAVIS DRIVE,Residential,Single Family Dwelling,,3197.568,21159950202,POINT (5825131.767347456 3851223.270202765)
108 COLEMAN DRIVE,Residential,Single Family Dwelling,,3527.1820000000002,21159950202,POINT (5827393.544207798 3824376.4477052526)
108 CRISP FITZPATRICK PLACE,Residential,Manufactured Home,,2571.2315,21159950202,POINT (5834852.678017651 3866211.3120386465)
108 HARMON LANE,Residential,Manufactured Home,,2703.0718,21159950300,POINT (5888015.634396359 3827418.277531274)
108 LITTLE ELK HODE SPUR,Unclassified,Unclassified,,791.1479,21159950100,POINT (5879639.088709445 3861153.195192431)
108 QUAIL HOLLOW,Commercial,Retail Trade,,3560.148,21159950202,POINT (5846624.236965601 3856928.9437614377)
108 ROCKCASTLE ROAD,Unclassified,Unclassified,,3626.084,21159950202,POINT (5847122.515219403 3856165.403898581)
108 SHERRIL SPENCE ROAD,Unclassified,Unclassified,,1384.525,21159950202,POINT (5829493.557193185 3846832.2783991625)
108 WALNUT DRIVE,Residential,Single Family Dwelling,,4334.838,21159950100,POINT (5886819.466393399 3844086.149606076)
108 WICKERFIELD ROAD,Residential,Single Family Dwelling,,1813.052,21159950201,POINT (5848139.327616858 3854573.4552523396)
108 YOUNG ESTATE,Residential,Manufactured Home,,988.9335,21159950201,POINT (5853843.107684262 3847319.182758465)
1081 LITTLE PETER CAVE ROAD,Residential,Single Family Dwelling,,692.2523,21159950100,POINT (5876050.6299974155 3837726.2491887715)
1083 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,2637.156,21159950202,POINT (5843832.670690825 3858500.7357147653)
1084 BLACKBERRY ROAD,Residential,Single Family Dwelling,,1318.581,21159950201,POINT (5841062.194577941 3834739.1613044837)
1084 COLLINS CREEK,Unclassified,Unclassified,,1054.862,21159950100,POINT (5881067.297730574 3843761.7522473596)
10842 RIVER FRONT ROAD,Unclassified,Unclassified,,1450.44,21159950300,POINT (5911025.177483649 3819182.5973505224)
1085 RIVER FRONT ROAD,Residential,Single Family Dwelling,,5274.3249,21159950100,POINT (5886454.7270940915 3844347.667849332)
1086 CAMP BRANCH,Residential,Single Family Dwelling,,1186.713,21159950201,POINT (5850943.44110562 3843169.7633019066)
1086 LONG BRANCH,Unclassified,Unclassified,,1846.013,21159950300,POINT (5897718.015862607 3828057.125428837)
1088 TUG RIVER ROAD,Residential,Single Family Dwelling,,988.9379,21159950100,POINT (5865450.590707294 3871493.697571357)
1089 SOUTH MILO ROAD,Residential,Single Family Dwelling,,3428.296,21159950202,POINT (5835942.090619077 3864873.907644757)
109 BEATRICE LOOP,Residential,Manufactured Home,,2801.971,21159950202,POINT (5843666.060998967 3858066.901687451)
109 CALLOWAY ROAD,Residential,Single Family Dwelling,,4235.936,21159950202,POINT (5834499.02764898 3860692.1593633997)
109 CAMP BRANCH,Residential,Single Family Dwelling,,3230.507,21159950201,POINT (5854310.979326934 3846593.1389645184)
109 ENDICOTT DRIVE,Residential,Manufactured Home,,5076.533100000001,21159950201,POINT (5858135.672050937 3835637.1298119402)
109 IVORY LANE,Residential,Unclassified,,4746.8934,21159950100,POINT (5876815.380794596 3848014.3399494)
109 PARSLEY DRIVE,Residential,Single Family Dwelling,,5636.9727,21159950100,POINT (5871383.674430706 3861448.6058820505)
109 VANCE HOLLOW,Residential,Manufactured Home,,1252.651,21159950201,POINT (5848061.313120039 3851743.546277923)
109 YOUNG ESTATE,Residential,Manufactured Home,,1714.158,21159950201,POINT (5853715.010865706 3847317.573707187)
1091 WOOTEN ROAD,Residential,Single Family Dwelling,,988.9528,21159950202,POINT (5821455.742511762 3848226.053220112)
10910 RIVER FRONT ROAD,Residential,Manufactured Home,,2900.876,21159950300,POINT (5911422.949747288 3819306.893681259)
1092 LITTLE PETER CAVE ROAD,Residential,Single Family Dwelling,,527.4354,21159950100,POINT (5875944.603613676 3837861.072797859)
1092 SOUTH MILO ROAD,Residential,Unclassified,,2966.8230000000003,21159950202,POINT (5836196.328872377 3864991.6302653095)
1095 CAMP BRANCH,Unclassified,Unclassified,,1318.575,21159950201,POINT (5851005.548143191 3843046.29721626)
1095 OLD MIDDLE FORK,Residential,Manufactured Home,,5983.0748,21159950201,POINT (5846693.7990814885 3850061.041839372)
10957 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1977.87,21159950300,POINT (5911498.130927765 3819539.2667529825)
10980 RIVER FRONT ROAD,Residential,Unclassified,,1846.012,21159950300,POINT (5911694.557906021 3819413.855832205)
10983 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2769.022,21159950300,POINT (5911651.9886106 3819638.227248546)
10983 YELLOW CREEK,Residential,Single Family Dwelling,,2933.849,21159950202,POINT (5857533.3086297 3879775.5835716366)
1099 COLLINS CREEK,Unclassified,Unclassified,,659.3046,21159950100,POINT (5881019.613692614 3843659.729476565)
11 AARON STREET,Unclassified,Unclassified,,4911.672,21159950201,POINT (5855789.976392607 3850718.007206366)
11 BRADLEY LANE,Residential,Single Family Dwelling,,791.1491,21159950202,POINT (5858425.65478272 3875434.051431297)
11 CASSELL BRANCH,Residential,Single Family Dwelling,,1087.826,21159950202,POINT (5844201.106490659 3864458.2669148534)
11 CHESTNUT DRIVE,Commercial,Retail Trade,,1615.26,21159950100,POINT (5887467.4005441265 3843343.8225188684)
11 DAVIS FAMILY CEMETERY ROAD,Residential,Unclassified,,1813.047,21159950202,POINT (5824499.749233881 3851892.822664919)
11 DICK FANNIN LANE,Residential,Single Family Dwelling,,1714.148,21159950202,POINT (5840079.922082211 3873989.119844247)
11 GREEN BOTTOM,Residential,Single Family Dwelling,,1186.734,21159950202,POINT (5844713.01939966 3855580.15360929)
11 KIRK PLAZA,Unclassified,Unclassified,,3692.031,21159950202,POINT (5846858.102418576 3846317.4395992383)
11 LITTLE LICK ROAD,Residential,Unclassified,,3494.228,21159950202,POINT (5847181.480748836 3876131.7347159013)
11 UPPER JAMES LANE,Residential,Single Family Dwelling,,988.9399,21159950201,POINT (5854106.381077847 3847710.0491060386)
110 BLACKBERRY ROAD,Residential,Manufactured Home,,1846.013,21159950201,POINT (5841422.793400121 3839233.3460585196)
110 DRY FORK,Residential,Single Family Dwelling,,4384.303,21159950202,POINT (5859535.893116273 3869810.076599167)
110 FIREHOUSE LANE,Commercial,Retail Trade,,1054.861,21159950100,POINT (5882802.062136956 3848122.977024026)
110 HAGER HILL DRIVE,Unclassified,Unclassified,,10218.98,21159950202,POINT (5841945.473011931 3863625.2946829107)
110 HARDINVILLE ROAD,Residential,Single Family Dwelling,,1318.592,21159950201,POINT (5852958.18270722 3851713.8390340097)
110 LACKEY BRANCH,Unclassified,Unclassified,,3164.5888,21159950100,POINT (5879836.830148486 3829622.6705674944)
110 LAFFERTY LANE,Residential,Single Family Dwelling,,1384.505,21159950201,POINT (5853474.752737652 3848358.7878657924)
110 RUSH SLONE ROAD,Residential,Manufactured Home,,2703.0933999999997,21159950202,POINT (5840662.583251512 3839935.7710134396)
110 TRACE BRANCH,Residential,Manufactured Home,,7647.739,21159950202,POINT (5830239.746901526 3844279.9603442154)
1100 ROCKCASTLE ROAD,Unclassified,Unclassified,,527.4365,21159950202,POINT (5843978.953479159 3858942.2379636625)
1101 ROCKCASTLE ROAD,Residential,Single Family Dwelling,,1846.005,21159950202,POINT (5843807.405391233 3858605.8698181747)
11019 RIVER FRONT ROAD,Residential,Single Family Dwelling,,6296.1959,21159950300,POINT (5911824.703456402 3819711.1230171486)
1103 LITTLE PETER CAVE ROAD,Residential,Single Family Dwelling,,1977.885,21159950100,POINT (5875843.080166739 3837824.239017733)
1106 LITTLE PETER CAVE ROAD,Residential,Manufactured Home,,923.0085,21159950100,POINT (5875872.9129757965 3837904.3594896146)
1106 VENTERS BRANCH,Unclassified,Unclassified,,3757.9478,21159950201,POINT (5845496.296646932 3832688.282145874)
11070 RIVER FRONT ROAD,Unclassified,Unclassified,,527.4268,21159950300,POINT (5912117.322304813 3819607.27416968)
11073 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2637.152,21159950300,POINT (5912022.944840846 3819833.053523874)
1108 LONG BRANCH,Residential,Unclassified,,1780.085,21159950300,POINT (5897736.559529816 3827928.2239476144)
1109 COLLINS CREEK,Residential,Manufactured Home,,857.0699,21159950100,POINT (5880981.498534246 3843641.446468926)
111 ALEXS PLACE,Residential,Single Family Dwelling,,1977.875,21159950202,POINT (5830881.143761093 3855577.1876352453)
111 BIG ELK ROAD,Residential,Single Family Dwelling,,988.924,21159950100,POINT (5877188.047176707 3846534.497618557)
111 DEBORD ROAD,Residential,Single Family Dwelling,,3955.734,21159950201,POINT (5844788.001601542 3840970.626008846)
111 FIREHOUSE LANE,Residential,Single Family Dwelling,,988.9343,21159950100,POINT (5882516.318710176 3847969.206788123)
111 GRASSY SCHOOL ROAD,Residential,Single Family Dwelling,,5257.811000000001,21159950202,POINT (5846173.745542587 3879280.772009147)
111 HALLS BRANCH,Residential,Manufactured Home,,2208.5893,21159950202,POINT (5832913.082341692 3858842.7649004795)
111 HAND MAUL HOLLOW,Residential,Single Family Dwelling,,1483.418,21159950202,POINT (5820065.77373982 3851995.1255282103)
111 MAUDE ROAD,Residential,Single Family Dwelling,,2142.696,21159950202,POINT (5851601.231139833 3856392.4390420625)
111 OTTO DRIVE,Unclassified,Unclassified,,2769.034,21159950201,POINT (5847184.093950737 3847507.458783215)
111 RIVERSIDE APARTMENTS DRIVE,Residential,Unclassified,,5603.963,21159950100,POINT (5884994.132946712 3857062.5445698374)
111 UPPER JAMES LANE,Residential,Unclassified,,2884.4129999999996,21159950201,POINT (5854330.733541849 3847854.102115309)
1111 OLD MIDDLE FORK,Residential,Unclassified,,1186.725,21159950201,POINT (5846429.416797358 3850183.9248517635)
1112 POPLAR FORK,Residential,Manufactured Home,,1846.016,21159950100,POINT (5871212.547670108 3847740.963917285)
11127 RIVER FRONT ROAD,Residential,Unclassified,,3428.3188,21159950300,POINT (5912331.093075467 3819958.8623826723)
11134 RIVER FRONT ROAD,Unclassified,Unclassified,,412.0551,21159950300,POINT (5912280.362890189 3819696.045016247)
1114 BLACKBERRY ROAD,Residential,Single Family Dwelling,,1318.565,21159950201,POINT (5841044.331246433 3834619.4349868237)
1115 ROCKCASTLE ROAD,Residential,Multi - Family Dwelling,,6971.975,21159950202,POINT (5843809.506746988 3858742.3414359763)
11161 RIVER FRONT ROAD,Residential,Temporary Lodging,,2373.4294,21159950300,POINT (5912404.778855999 3820043.4672787962)
1119 TRACE FORK,Residential,Single Family Dwelling,,593.369,21159950202,POINT (5824339.925245081 3839847.6295407997)
11191 RIVER FRONT ROAD,Residential,Temporary Lodging,,4087.6059999999998,21159950300,POINT (5912608.739564606 3820113.7120736274)
112 COLDWATER ROAD,Residential,Single Family Dwelling,,3032.736,21159950201,POINT (5853449.629541151 3849811.3604172836)
112 HEWITT AVENUE,Residential,Single Family Dwelling,,3807.4055,21159950100,POINT (5888617.59219398 3842246.1301290793)
112 MIDDLE FORK DAVIS BRANCH,Residential,Unclassified,,1631.746,21159950202,POINT (5841274.899444078 3840413.0682132035)
112 MILO SUBDIVISION ROAD,Residential,Single Family Dwelling,,2637.178,21159950202,POINT (5835977.666823716 3871450.182565548)
112 RIVERSIDE APARTMENTS DRIVE,Residential,Unclassified,,5274.318,21159950100,POINT (5884987.772190584 3856938.0570921195)
112 SPRUCE PINE ROAD,Residential,Single Family Dwelling,,791.1547,21159950100,POINT (5859498.4554218855 3862830.551979569)
112 TWIN OAK DRIVE,Residential,Single Family Dwelling,,3823.87,21159950201,POINT (5849519.1437129 3854489.2886051387)
1120 OLD MIDDLE FORK,Residential,Unclassified,,4153.536,21159950202,POINT (5846223.890529938 3850155.0974116945)
