PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,area,bg,geometry,res,mfh,ind,com,caf,gro,type,index_right,TRACT,BLKGRP
100 STEPP BOTTOM,Residential,['Unclassified'],,2637.169,9502011,POINT (5853359.612106801 3849228.6876921253),True,False,False,False,False,False,res,19,950201,1
100 VIRGIL MOORE ROAD,Residential,['Single Family Dwelling'],,1186.727,9502021,POINT (5855849.960141928 3881965.882065091),True,False,False,False,False,False,res,14,950202,1
100 WARD TRAILER PARK ROAD,Residential,['Unclassified'],,1780.094,9501001,POINT (5881089.586220769 3863193.1139298496),True,False,False,False,False,False,res,0,950100,1
100 WENDY STREET,Residential,['Manufactured Home'],,1582.303,9501001,POINT (5876602.80038587 3867476.2007745295),True,False,False,False,False,False,res,0,950100,1
100 WILDFLOWER DRIVE,Residential,['Single Family Dwelling'],,3757.95,9502024,POINT (5846756.133949662 3851808.008219757),True,False,False,False,False,False,res,17,950202,4
1000 WEST MAIN STREET,Unclassified,['Unclassified'],,527.4245,9502022,POINT (5844226.292408445 3856646.4127423223),False,False,False,True,False,False,com,15,950202,2
1003 SPENCE BRANCH,Unclassified,['Retail Trade'],,3296.4476999999997,9502022,POINT (5833582.47768055 3877029.195681252),False,False,False,False,True,False,caf,15,950202,2
10032 MEATHOUSE ROAD,Residential,['Single Family Dwelling'],,2571.232,9502012,POINT (5858374.573278831 3793365.2195797744),True,False,False,False,False,False,res,18,950201,2
10046 MEATHOUSE ROAD,Residential,['Single Family Dwelling'],,3032.754,9502012,POINT (5858427.595115131 3793236.4144117422),True,False,False,False,False,False,res,18,950201,2
1005 PETER CAVE BRANCH,Residential,['Single Family Dwelling'],,1813.0497,9502021,POINT (5852616.905435839 3876147.685122863),True,False,False,False,False,False,res,14,950202,1
1006 CRUM BRANCH,Residential,['Single Family Dwelling'],,3032.7295,9502011,POINT (5846857.660672566 3836594.601510103),True,False,False,False,False,False,res,19,950201,1
1006 WHITE OAK ROAD,Residential,['Single Family Dwelling'],,3362.4019000000003,9503001,POINT (5882699.369739366 3822459.622552807),True,False,False,False,False,False,res,3,950300,1
10065 YELLOW CREEK,Residential,['Single Family Dwelling'],,1450.423,9502021,POINT (5860351.053386026 3881907.804282366),True,False,False,False,False,False,res,14,950202,1
1009 LITTLE BLACKLOG ROAD,Residential,['Manufactured Home'],,2142.688,9501002,POINT (5858926.942515327 3853402.7989262114),True,False,False,False,False,False,res,2,950100,2
101 CARDINAL ESTATE,Residential,['Single Family Dwelling'],,3626.118,9502012,POINT (5857271.086842645 3844392.821135398),True,False,False,False,False,False,res,18,950201,2
101 EDEN LANE,Unclassified,['Unclassified'],,1384.503,9502022,POINT (5838444.7766993325 3867567.917474429),False,False,False,True,False,False,com,15,950202,2
101 EVANS FARM ROAD,Residential,['Single Family Dwelling'],,8438.9048,9501003,POINT (5881766.463193271 3834121.5510339662),True,False,False,False,False,False,res,1,950100,3
101 MIDDLE FORK DAVIS BRANCH,Residential,['Manufactured Home'],,1977.885,9502024,POINT (5841272.2131287735 3840312.324770655),True,False,False,False,False,False,res,17,950202,4
101 RALPH MOORE LANE,Residential,['Manufactured Home'],,2637.147,9502012,POINT (5868259.586522495 3831092.691333459),True,False,False,False,False,False,res,18,950201,2
101 RUSSELL GOBLE LANE,Residential,['Manufactured Home'],,4450.2285,9502024,POINT (5831463.429463712 3826557.89375665),True,False,False,False,False,False,res,17,950202,4
101 SPRUCE PINE ROAD,Residential,['Single Family Dwelling'],,2241.595,9501002,POINT (5859633.066633669 3862815.210036549),True,False,False,False,False,False,res,2,950100,2
101 TIPPLE ROAD,Residential,['Unclassified'],,3626.085,9501003,POINT (5880361.613135246 3847024.661052807),True,False,False,False,False,False,res,1,950100,3
1010 CALF CREEK,Residential,['Single Family Dwelling'],,2769.02,9502021,POINT (5857645.448939932 3872177.90605561),True,False,False,False,False,False,res,14,950202,1
1010 WEST MAIN STREET,Unclassified,['Retail Trade'],,593.3592,9502022,POINT (5843781.349764172 3856784.565846423),False,False,False,False,True,False,caf,15,950202,2
1013 POPLAR FORK,Residential,['Single Family Dwelling'],,3461.288,9501002,POINT (5871572.862032417 3847354.368805968),True,False,False,False,False,False,res,2,950100,2
1014 WEST MAIN STREET,Unclassified,['Unclassified'],,9493.751,9502022,POINT (5843628.181991159 3857061.7643607566),False,False,False,True,False,False,com,15,950202,2
1016 WHITE OAK ROAD,Residential,['Single Family Dwelling'],,395.5715,9503001,POINT (5882902.095099808 3822291.9779394562),True,False,False,False,False,False,res,3,950300,1
1017 LITTLE PETER CAVE ROAD,Residential,['Single Family Dwelling'],,4598.5524000000005,9501003,POINT (5876394.492014269 3837680.4941117414),True,False,False,False,False,False,res,1,950100,3
1017 UNION ROAD,Residential,['Single Family Dwelling'],,1780.089,9502021,POINT (5856170.458370296 3866001.3395317025),True,False,False,False,False,False,res,14,950202,1
102 ABBS LANE,Residential,['Single Family Dwelling'],,1846.008,9502022,POINT (5842723.941434564 3869782.6519332635),True,False,False,False,False,False,res,15,950202,2
102 ALEXS PLACE,Residential,['Manufactured Home'],,1252.665,9502023,POINT (5831090.119396518 3855998.772127605),True,False,False,False,False,False,res,16,950202,3
102 ALLEY LANE,Residential,['Single Family Dwelling'],,2801.991,9501001,POINT (5875629.146281645 3867270.461916129),True,False,False,False,False,False,res,0,950100,1
102 AYSCUE HOLLOW,Unclassified,['Unclassified'],,1845.994,9502024,POINT (5831758.901789433 3839333.666425302),False,False,False,True,False,False,com,17,950202,4
102 COLLINS CREEK,Residential,['Single Family Dwelling'],,2571.219,9501003,POINT (5884505.734314438 3847232.003237323),True,False,False,False,False,False,res,1,950100,3
102 HALE DRIVE,Residential,['Unclassified'],,1977.862,9503001,POINT (5876815.636291049 3818295.7526052035),True,False,False,False,False,False,res,3,950300,1
10205 MEATHOUSE ROAD,Residential,['Single Family Dwelling'],,988.9235,9503001,POINT (5859241.780670791 3792300.0831467905),True,False,False,False,False,False,res,3,950300,1
1021 HONEY BRANCH INDUSTRIAL PARK,Commercial,['Retail Trade'],,50336.77,9502011,POINT (5821359.067749871 3817575.4471617914),False,False,False,True,False,False,com,19,950201,1
1021 VENTERS BRANCH,Unclassified,['Unclassified'],,2966.8072,9502011,POINT (5845647.665508499 3834095.2469704384),False,False,False,True,False,False,com,19,950201,1
10210 MEATHOUSE ROAD,Unclassified,['Unclassified'],,791.1387,9502012,POINT (5858858.605335697 3792599.4497889318),False,False,False,True,False,False,com,18,950201,2
1023 DAVELLA ROAD,Residential,['Single Family Dwelling'],,3065.685,9502024,POINT (5834810.880028386 3828168.528298823),True,False,False,False,False,False,res,17,950202,4
1023 RIVER FRONT ROAD,Residential,['Single Family Dwelling'],,2076.79,9501003,POINT (5886210.148656383 3844516.124836011),True,False,False,False,False,False,res,1,950100,3
1024 COLLINS CREEK,Residential,['Single Family Dwelling'],,494.468,9501003,POINT (5881299.682068625 3843887.946938986),True,False,False,False,False,False,res,1,950100,3
10259 YELLOW CREEK,Residential,['Single Family Dwelling'],,2637.175,9502021,POINT (5860350.643685489 3881027.4988950454),True,False,False,False,False,False,res,14,950202,1
1029 TRACE FORK,Residential,['Manufactured Home'],,4598.5419999999995,9502024,POINT (5824604.765778168 3839863.389742105),True,False,False,False,False,False,res,17,950202,4
10297 YELLOW CREEK,Residential,['Single Family Dwelling'],,3098.6795,9502021,POINT (5860087.841783489 3881084.522421153),True,False,False,False,False,False,res,14,950202,1
103 BILL STEPP BRANCH,Residential,['Manufactured Home'],,1780.096,9502011,POINT (5852346.783427265 3852659.943382033),True,False,False,False,False,False,res,19,950201,1
103 BOONE BRANCH,Residential,['Single Family Dwelling'],,3807.392,9502011,POINT (5847855.832341812 3849337.4945624),True,False,False,False,False,False,res,19,950201,1
103 BROOKEVIEW HEIGHTS,Residential,['Unclassified'],,3955.732,9501002,POINT (5859148.132840261 3848607.3782272),True,False,False,False,False,False,res,2,950100,2
103 CRUM BRANCH,Residential,['Manufactured Home'],,4549.084,9502011,POINT (5844815.613653852 3840354.898043653),True,False,False,False,False,False,res,19,950201,1
103 HODE ROAD,Residential,['Unclassified'],,1780.066,9501001,POINT (5882785.045326631 3848324.439161433),True,False,False,False,False,False,res,0,950100,1
103 KENNEY DRIVE,Residential,['Single Family Dwelling'],,3230.5194,9502022,POINT (5836162.451364491 3863921.787085233),True,False,False,False,False,False,res,15,950202,2
103 RATLIFF TOWN ROAD,Residential,['Manufactured Home'],,923.0064,9502022,POINT (5846645.059075898 3882827.4157100655),True,False,False,False,False,False,res,15,950202,2
103 WILLIAMS BRANCH SPUR,Unclassified,['Unclassified'],,791.1437,9501001,POINT (5874719.114271025 3866651.9154375647),False,False,False,True,False,False,com,0,950100,1
1030 WEST MAIN STREET,Unclassified,['Unclassified'],,692.2543,9502022,POINT (5843679.868837422 3856472.7373915575),False,False,False,True,False,False,com,15,950202,2
1031 SALTWELL ROAD,Residential,['Single Family Dwelling'],,2076.758,9502024,POINT (5841436.726520074 3846946.4315904393),True,False,False,False,False,False,res,17,950202,4
1033 HODE ROAD,Residential,['Unclassified'],,5274.291300000001,9501001,POINT (5882297.95549939 3852604.5403896044),True,False,False,False,False,False,res,0,950100,1
1034 SOUTH MILO ROAD,Residential,['Single Family Dwelling'],,5010.605600000001,9502022,POINT (5836289.052907331 3864871.7812022106),True,False,False,False,False,False,res,15,950202,2
1035 WEST MAIN STREET,Unclassified,['Unclassified'],,1483.407,9502024,POINT (5843947.307308032 3856501.3655553865),False,False,False,True,False,False,com,17,950202,4
10353 YELLOW CREEK,Residential,['Single Family Dwelling'],,1582.313,9502021,POINT (5859783.682626433 3881143.934120127),True,False,False,False,False,False,res,14,950202,1
1037 BIG LICK ROAD,Residential,['Single Family Dwelling'],,3790.9170000000004,9502021,POINT (5849295.823046569 3871475.594061479),True,False,False,False,False,False,res,14,950202,1
1039 LITTLE PETER CAVE ROAD,Residential,['Single Family Dwelling'],,3626.106,9501003,POINT (5876175.726494914 3837682.181205619),True,False,False,False,False,False,res,1,950100,3
104 BILL STEPP BRANCH,Residential,['Unclassified'],,1681.192,9502011,POINT (5852284.842387329 3852568.8767765975),True,False,False,False,False,False,res,19,950201,1
104 EAST MAIN STREET,Unclassified,['Unclassified'],,18839.19,9502011,POINT (5848436.1492824685 3854912.399493452),False,False,False,True,False,False,com,19,950201,1
104 HARVEY HORN ROAD,Residential,['Manufactured Home'],,3576.6603,9502021,POINT (5855703.4682254335 3861528.774416728),True,False,False,False,False,False,res,14,950202,1
104 HODE ROAD,Residential,['Single Family Dwelling'],,1648.226,9501001,POINT (5882746.587730251 3848517.1462886995),True,False,False,False,False,False,res,0,950100,1
104 HORSE BRANCH,Residential,['Single Family Dwelling'],,3428.3301,9502024,POINT (5830613.334830606 3848861.53175293),True,False,False,False,False,False,res,17,950202,4
104 KENNEY DRIVE,Residential,['Single Family Dwelling'],,2373.445,9502022,POINT (5835967.335268074 3864113.0106200706),True,False,False,False,False,False,res,15,950202,2
104 MELANIE LANE,Residential,['Single Family Dwelling'],,4549.1176,9502022,POINT (5837368.505241028 3873185.208802631),True,False,False,False,False,False,res,15,950202,2
104 TOM EVANS LANE,Residential,['Single Family Dwelling'],,4137.041,9501003,POINT (5883364.916709884 3845239.8701873827),True,False,False,False,False,False,res,1,950100,3
104 TOMAHAWK ROAD,Agriculture,['Retail Trade'],,1186.734,9502022,POINT (5842354.064110706 3856007.9478159994),False,False,False,False,True,False,caf,15,950202,2
1042 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,2637.162,9502022,POINT (5843893.573689978 3858220.6343109426),True,False,False,False,False,False,res,15,950202,2
1042 UNION ROAD,Residential,['Single Family Dwelling'],,791.1505,9502021,POINT (5855822.552950929 3866808.7049943656),True,False,False,False,False,False,res,14,950202,1
1044 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,3230.531,9502021,POINT (5844017.590410863 3858303.049606237),True,False,False,False,False,False,res,14,950202,1
1045 BIG LICK ROAD,Residential,['Single Family Dwelling'],,2505.3085,9502021,POINT (5849416.05240982 3871444.351742026),True,False,False,False,False,False,res,14,950202,1
1047 CASSELL BRANCH,Residential,['Manufactured Home'],,2109.724,9502021,POINT (5849315.25264467 3865794.6444529365),True,False,False,False,False,False,res,14,950202,1
1047 DAVELLA ROAD,Residential,['Single Family Dwelling'],,1977.859,9502024,POINT (5834840.450574658 3828077.2992565846),True,False,False,False,False,False,res,17,950202,4
105 BEECHWOOD ESTATE,Unclassified,['Retail Trade'],,2900.87,9502022,POINT (5837538.698067897 3859061.2256752276),False,False,False,False,True,False,caf,15,950202,2
105 CLINE BOTTOM,Residential,['Manufactured Home'],,1318.577,9502024,POINT (5844423.879428763 3842206.1697634715),True,False,False,False,False,False,res,17,950202,4
105 GROUNDHOG ROAD,Residential,['Single Family Dwelling'],,4120.56,9501003,POINT (5882131.737955555 3847114.9855706966),True,False,False,False,False,False,res,1,950100,3
105 JACKSON ROAD,Residential,['Manufactured Home'],,5933.6228,9502024,POINT (5834648.189960948 3827624.411397113),True,False,False,False,False,False,res,17,950202,4
105 LEONARD PRESTON ROAD,Residential,['Unclassified'],,1450.442,9502022,POINT (5840770.134518823 3871277.6341287126),True,False,False,False,False,False,res,15,950202,2
105 SYCAMORE ESTATE,Residential,['Single Family Dwelling'],,2505.289,9502021,POINT (5844404.431692933 3859385.5994675485),True,False,False,False,False,False,res,14,950202,1
105 WOOTEN ROAD,Residential,['Single Family Dwelling'],,2307.518,9502023,POINT (5824761.363598741 3851112.857640068),True,False,False,False,False,False,res,16,950202,3
1052 LITTLE BLACKLOG ROAD,Unclassified,['Unclassified'],,1450.446,9501002,POINT (5859133.626435412 3853315.147497274),False,False,False,True,False,False,com,2,950100,2
10531 MEATHOUSE ROAD,Unclassified,['Unclassified'],,1878.9654,9503001,POINT (5858391.904798715 3791098.261207816),False,False,False,True,False,False,com,3,950300,1
1054 EAST MAIN STREET,Commercial,['Retail Trade'],,2769.007,9502011,POINT (5851225.979485657 3853043.179524413),False,False,False,False,False,True,gro,19,950201,1
1054 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,791.1456,9502021,POINT (5843991.1437190855 3858385.457360778),True,False,False,False,False,False,res,14,950202,1
10559 MEATHOUSE ROAD,Unclassified,['Retail Trade'],,659.2769,9503001,POINT (5858272.932446311 3790997.588019007),False,False,False,False,True,False,caf,3,950300,1
10566 MEATHOUSE ROAD,Residential,['Single Family Dwelling'],,3659.052,9502012,POINT (5857995.272873885 3790934.4905606443),True,False,False,False,False,False,res,18,950201,2
106 LITTLE ROCKCASTLE ROAD,Residential,['Manufactured Home'],,1582.307,9502012,POINT (5867667.586176992 3842217.2332512676),True,False,False,False,False,False,res,18,950201,2
106 MUDDY BRANCH,Residential,['Unclassified'],,3098.6465000000003,9502011,POINT (5857678.779357181 3838963.151926798),True,False,False,False,False,False,res,19,950201,1
106 ROCKHOUSE MILLS ROAD,Residential,['Single Family Dwelling'],,1153.761,9502023,POINT (5829852.766468789 3850618.5313053136),True,False,False,False,False,False,res,16,950202,3
106 STEPP BRANCH,Residential,['Unclassified'],,1318.586,9503001,POINT (5903911.353507495 3827070.3519277354),True,False,False,False,False,False,res,3,950300,1
106 WEBB HOLLOW,Unclassified,['Unclassified'],,1615.252,9502021,POINT (5851463.398598616 3885044.290088784),False,False,False,True,False,False,com,14,950202,1
106 WEST POPLAR ROAD,Residential,['Single Family Dwelling'],,1384.516,9501002,POINT (5867582.060274393 3853084.8028633436),True,False,False,False,False,False,res,2,950100,2
1061 COLDWATER ROAD,Unclassified,['Unclassified'],,2373.451,9502012,POINT (5855755.220641895 3845876.925244808),False,False,False,True,False,False,com,18,950201,2
1061 DAVELLA ROAD,Residential,['Manufactured Home'],,1648.223,9502024,POINT (5834844.224992479 3827958.256014126),True,False,False,False,False,False,res,17,950202,4
1062 BLACKBERRY ROAD,Residential,['Single Family Dwelling'],,1071.341,9502011,POINT (5841028.876472227 3834833.9620230664),True,False,False,False,False,False,res,19,950201,1
1063 NORTH WOLF CREEK,Residential,['Unclassified'],,2109.706,9501003,POINT (5878471.458188084 3827360.6956257084),True,False,False,False,False,False,res,1,950100,3
1064 SALTWELL ROAD,Residential,['Manufactured Home'],,2620.6598,9502024,POINT (5841217.125719128 3847027.730113037),True,False,False,False,False,False,res,17,950202,4
10659 YELLOW CREEK,Residential,['Single Family Dwelling'],,1648.233,9502021,POINT (5858250.544349737 3881160.2533157156),True,False,False,False,False,False,res,14,950202,1
1066 COLLINS CREEK,Residential,['Unclassified'],,2637.1748,9501003,POINT (5881127.983406297 3843781.4411032884),True,False,False,False,False,False,res,1,950100,3
1066 UNION ROAD,Residential,['Single Family Dwelling'],,725.2197,9502021,POINT (5856072.30767038 3865720.2240555603),True,False,False,False,False,False,res,14,950202,1
1067 CASSELL BRANCH,Residential,['Unclassified'],,3411.818,9502021,POINT (5849500.680738571 3865789.312119683),True,False,False,False,False,False,res,14,950202,1
1067 ROCKCASTLE ROAD,Residential,['Manufactured Home'],,1186.718,9502022,POINT (5843849.62281374 3858378.766446754),True,False,False,False,False,False,res,15,950202,2
1068 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,1384.506,9502021,POINT (5843986.868383962 3858442.327900911),True,False,False,False,False,False,res,14,950202,1
107 CHARLIE CLINE ROAD,Commercial,['Retail Trade'],,3873.3230000000003,9502024,POINT (5840215.737033205 3838229.611190118),False,False,False,False,True,False,caf,17,950202,4
107 HARLESS ROAD,Residential,['Manufactured Home'],,1994.347,9502023,POINT (5817121.7372854715 3850973.481062711),True,False,False,False,False,False,res,16,950202,3
107 KIRK PLAZA,Residential,['Single Family Dwelling'],,1582.286,9502024,POINT (5846701.469450873 3847044.3638354605),True,False,False,False,False,False,res,17,950202,4
107 LIGHTHOUSE LANE,Residential,['Single Family Dwelling'],,1120.799,9502012,POINT (5853838.625887203 3848280.1573864776),True,False,False,False,False,False,res,18,950201,2
107 OLE BLUE DRIVE,Residential,['Single Family Dwelling'],,4351.317,9502011,POINT (5843468.970914655 3840474.2437357553),True,False,False,False,False,False,res,19,950201,1
107 PENIX DRIVE,Residential,['Unclassified'],,3790.932,9502024,POINT (5846747.863362027 3855324.254460381),True,False,False,False,False,False,res,17,950202,4
107 SOUTH MILO ROAD,Residential,['Single Family Dwelling'],,3296.429,9502023,POINT (5835219.723370408 3861590.1325047524),True,False,False,False,False,False,res,16,950202,3
1072 TUG RIVER ROAD,Residential,['Single Family Dwelling'],,1681.185,9501002,POINT (5865462.754720532 3871418.7289733486),True,False,False,False,False,False,res,2,950100,2
10727 YELLOW CREEK,Residential,['Single Family Dwelling'],,2900.866,9502021,POINT (5857998.265830836 3880860.603397283),True,False,False,False,False,False,res,14,950202,1
1073 CASSELL BRANCH,Residential,['Manufactured Home'],,791.1476,9502021,POINT (5849741.072114718 3865708.44834316),True,False,False,False,False,False,res,14,950202,1
1073 EMILY CREEK,Residential,['Manufactured Home'],,1648.223,9501003,POINT (5884485.735648814 3826881.1148442836),True,False,False,False,False,False,res,1,950100,3
1078 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,923.0183,9502021,POINT (5843979.023320935 3858545.298110044),True,False,False,False,False,False,res,14,950202,1
1079 COLDWATER ROAD,Residential,['Single Family Dwelling'],,9032.2673,9502012,POINT (5855771.581708068 3845812.1982668205),True,False,False,False,False,False,res,18,950201,2
108 CARDINAL ESTATE,Residential,['Manufactured Home'],,1450.448,9502012,POINT (5857323.332721267 3844306.9527086765),True,False,False,False,False,False,res,18,950201,2
108 CLYDE DAVIS DRIVE,Residential,['Single Family Dwelling'],,3197.568,9502023,POINT (5825131.767347456 3851223.270202765),True,False,False,False,False,False,res,16,950202,3
108 COLEMAN DRIVE,Residential,['Single Family Dwelling'],,3527.1820000000002,9502024,POINT (5827393.544207798 3824376.4477052526),True,False,False,False,False,False,res,17,950202,4
108 CRISP FITZPATRICK PLACE,Residential,['Manufactured Home'],,2571.2315,9502022,POINT (5834852.678017651 3866211.3120386465),True,False,False,False,False,False,res,15,950202,2
108 HARMON LANE,Residential,['Manufactured Home'],,2703.0718,9503001,POINT (5888015.634396359 3827418.277531274),True,False,False,False,False,False,res,3,950300,1
108 LITTLE ELK HODE SPUR,Unclassified,['Unclassified'],,791.1479,9501001,POINT (5879639.088709445 3861153.195192431),False,False,False,True,False,False,com,0,950100,1
108 QUAIL HOLLOW,Commercial,['Retail Trade'],,3560.148,9502021,POINT (5846624.236965601 3856928.9437614377),False,False,False,True,False,False,com,14,950202,1
108 ROCKCASTLE ROAD,Unclassified,['Unclassified'],,3626.084,9502021,POINT (5847122.515219403 3856165.403898581),False,False,False,True,False,False,com,14,950202,1
108 SHERRIL SPENCE ROAD,Unclassified,['Unclassified'],,1384.525,9502023,POINT (5829493.557193185 3846832.2783991625),False,False,False,True,False,False,com,16,950202,3
108 WALNUT DRIVE,Residential,['Single Family Dwelling'],,4334.838,9501003,POINT (5886819.466393399 3844086.149606076),True,False,False,False,False,False,res,1,950100,3
108 WICKERFIELD ROAD,Residential,['Single Family Dwelling'],,1813.052,9502011,POINT (5848139.327616858 3854573.4552523396),True,False,False,False,False,False,res,19,950201,1
108 YOUNG ESTATE,Residential,['Manufactured Home'],,988.9335,9502011,POINT (5853843.107684262 3847319.182758465),True,False,False,False,False,False,res,19,950201,1
1081 LITTLE PETER CAVE ROAD,Residential,['Single Family Dwelling'],,692.2523,9501003,POINT (5876050.6299974155 3837726.2491887715),True,False,False,False,False,False,res,1,950100,3
1083 ROCKCASTLE ROAD,Residential,['Single Family Dwelling'],,2637.156,9502022,POINT (5843832.670690825 3858500.7357147653),True,False,False,False,False,False,res,15,950202,2
1084 BLACKBERRY ROAD,Residential,['Single Family Dwelling'],,1318.581,9502011,POINT (5841062.194577941 3834739.1613044837),True,False,False,False,False,False,res,19,950201,1
1084 COLLINS CREEK,Unclassified,['Retail Trade'],,1054.862,9501003,POINT (5881067.297730574 3843761.7522473596),False,False,False,False,True,False,caf,1,950100,3
10842 RIVER FRONT ROAD,Unclassified,['Retail Trade'],,1450.44,9503001,POINT (5911025.177483649 3819182.5973505224),False,False,False,False,True,False,caf,3,950300,1
1085 RIVER FRONT ROAD,Residential,['Single Family Dwelling'],,5274.3249,9501003,POINT (5886454.7270940915 3844347.667849332),True,False,False,False,False,False,res,1,950100,3
1086 CAMP BRANCH,Residential,['Single Family Dwelling'],,1186.713,9502011,POINT (5850943.44110562 3843169.7633019066),True,False,False,False,False,False,res,19,950201,1
1086 LONG BRANCH,Unclassified,['Retail Trade'],,1846.013,9503001,POINT (5897718.015862607 3828057.125428837),False,False,False,False,True,False,caf,3,950300,1
1088 TUG RIVER ROAD,Residential,['Single Family Dwelling'],,988.9379,9501002,POINT (5865450.590707294 3871493.697571357),True,False,False,False,False,False,res,2,950100,2
1089 SOUTH MILO ROAD,Residential,['Single Family Dwelling'],,3428.296,9502023,POINT (5835942.090619077 3864873.907644757),True,False,False,False,False,False,res,16,950202,3
109 BEATRICE LOOP,Residential,['Manufactured Home'],,2801.971,9502022,POINT (5843666.060998967 3858066.901687451),True,False,False,False,False,False,res,15,950202,2
109 CALLOWAY ROAD,Residential,['Single Family Dwelling'],,4235.936,9502023,POINT (5834525.919117067 3860803.008502285),True,False,False,False,False,False,res,16,950202,3
109 CAMP BRANCH,Residential,['Single Family Dwelling'],,3230.507,9502011,POINT (5854310.979326934 3846593.1389645184),True,False,False,False,False,False,res,19,950201,1
109 ENDICOTT DRIVE,Residential,['Manufactured Home'],,5076.533100000001,9502012,POINT (5858135.672050937 3835637.1298119402),True,False,False,False,False,False,res,18,950201,2
109 IVORY LANE,Residential,['Unclassified'],,4746.8934,9501001,POINT (5876815.380794596 3848014.3399494),True,False,False,False,False,False,res,0,950100,1
109 PARSLEY DRIVE,Residential,['Single Family Dwelling'],,5636.9727,9501002,POINT (5871383.674430706 3861448.6058820505),True,False,False,False,False,False,res,2,950100,2
109 VANCE HOLLOW,Residential,['Manufactured Home'],,1252.651,9502011,POINT (5848061.313120039 3851743.546277923),True,False,False,False,False,False,res,19,950201,1
109 YOUNG ESTATE,Residential,['Manufactured Home'],,1714.158,9502011,POINT (5853715.010865706 3847317.573707187),True,False,False,False,False,False,res,19,950201,1
1091 WOOTEN ROAD,Residential,['Single Family Dwelling'],,988.9528,9502023,POINT (5821455.742511762 3848226.053220112),True,False,False,False,False,False,res,16,950202,3
10910 RIVER FRONT ROAD,Residential,['Manufactured Home'],,2900.876,9503001,POINT (5911422.949747288 3819306.893681259),True,False,False,False,False,False,res,3,950300,1
1092 LITTLE PETER CAVE ROAD,Residential,['Single Family Dwelling'],,527.4354,9501003,POINT (5875944.603613676 3837861.072797859),True,False,False,False,False,False,res,1,950100,3
1092 SOUTH MILO ROAD,Residential,['Unclassified'],,2966.8230000000003,9502022,POINT (5836196.328872377 3864991.6302653095),True,False,False,False,False,False,res,15,950202,2
1095 CAMP BRANCH,Unclassified,['Unclassified'],,1318.575,9502011,POINT (5851005.548143191 3843046.29721626),False,False,False,True,False,False,com,19,950201,1
1095 OLD MIDDLE FORK,Residential,['Manufactured Home'],,5983.0748,9502011,POINT (5846601.920656545 3850144.685129317),True,False,False,False,False,False,res,19,950201,1
10957 RIVER FRONT ROAD,Residential,['Single Family Dwelling'],,1977.87,9503001,POINT (5911498.130927765 3819539.2667529825),True,False,False,False,False,False,res,3,950300,1
10980 RIVER FRONT ROAD,Residential,['Unclassified'],,1846.012,9503001,POINT (5911694.557906021 3819413.855832205),True,False,False,False,False,False,res,3,950300,1
